series_id                     ,seasonal,index_code,series_name,base_period,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
EIUCDMEXTOT                   ,U,CD,Mexico-All Industries,December 2017=100,"Monthly export price index by destination for NAICS, All industries, Mexico, not seasonally adjusted",,2017,M12,2022,M03
EIUCDPRIMMANU                 ,U,CD,Pacific Rim-Manufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Manufacturing, Pacific Rim, not seasonally adjusted",,2017,M12,2022,M03
EIUCDPRIMNONM                 ,U,CD,Pacific Rim-Nonmanufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Nonmanufacturing, Pacific Rim, not seasonally adjusted",,2017,M12,2022,M03
EIUCDPRIMTOT                  ,U,CD,Pacific Rim-All Industries,December 2017=100,"Monthly export price index by destination for NAICS, All industries, Pacific Rim, not seasonally adjusted",4.0,2017,M12,2022,M03
EIUCOASEANTOT                 ,U,CO,ASEAN-All Industries,December 2003=100,"Monthly import price index by origin for NAICS, All industries, Association of Southeast Asian Nations, not seasonally adjusted",6.0,2003,M12,2022,M03
EIUCOASEANZ31                 ,U,CO,"ASEAN-Manufacturing, part 1",June 2012=100,"Monthly import price index by origin for NAICS 31, Manufacturing, part 1, Association of Southeast Asian Nations, not seasonally adjusted",,2012,M06,2022,M03
EIUCOASEANZ311                ,U,CO,ASEAN-Food manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 311, Food manufacturing, Association of Southeast Asian Nations, not seasonally adjusted",,2012,M06,2022,M03
EIUCOASEANZ3117               ,U,CO,ASEAN-Seafood product preparation and packaging,December 2020=100,"Monthly import price index by origin for NAICS 3117, Seafood product preparation and packaging, Association of Southeast Asian Nations, not seasonally adjusted",,2020,M12,2022,M03
EIUCOASEANZ315                ,U,CO,ASEAN-Apparel manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 315, Apparel manufacturing, Association of Southeast Asian Nations, not seasonally adjusted",,2012,M06,2022,M03
EIUCOASEANZ33                 ,U,CO,"ASEAN-Manufacturing, part 3",June 2012=100,"Monthly import price index by origin for NAICS 33, Manufacturing, part 3, Association of Southeast Asian Nations, not seasonally adjusted",,2012,M06,2022,M03
EIUCOASEANZ334                ,U,CO,ASEAN-Computer and electronic product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 334, Computer and electronic product manufacturing, Association of Southeast Asian Nations, not seasonally adjusted",,2012,M06,2022,M03
EIUCOASEANZ3344               ,U,CO,ASEAN-Semiconductor and other electronic component manufacturing,December 2018=100,"Monthly import price index by origin for NAICS 334, Semiconductor and other electronic component manufacturing, Association of Southeast Asian Nations, not seasonally adjusted",,2018,M12,2022,M03
EIUCOASEANZ337                ,U,CO,ASEAN-Furniture and related product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 337, Furniture and related product manufacturing, Association of Southeast Asian Nations, not seasonally adjusted",,2012,M06,2022,M03
EIUCOASEANZ339                ,U,CO,ASEAN-Miscellaneous manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 339, Miscellaneous manufacturing, Association of Southeast Asian Nations, not seasonally adjusted",,2012,M06,2022,M03
EIUCOASNRETOT                 ,U,CO,Asia Near East-All Industries,December 2003=100,"Monthly import price index by origin for NAICS, All industries, Asia Near East, not seasonally adjusted",7.0,2003,M12,2022,M03
EIUCOCANMANU                  ,U,CO,Canada-Manufacturing,2000=100,"Monthly import price index by origin for NAICS, Manufacturing, Canada, not seasonally adjusted",,1990,M12,2022,M03
EIUCOCANNONM                  ,U,CO,Canada-Nonmanufacturing,2000=100,"Monthly import price index by origin for NAICS, Nonmanufacturing, Canada, not seasonally adjusted",,1990,M12,2022,M03
EIUCOCANTOT                   ,U,CO,Canada-All Industries,2000=100,"Monthly import price index by origin for NAICS, All industries, Canada, not seasonally adjusted",,1990,M12,2022,M03
EIUCOCANZ11                   ,U,CO,"Canada-Agriculture, forestry, fishing and hunting",December 2020=100,"Monthly import price index by origin for NAICS 11, Agriculture, forestry, fishing and hunting, Canada, not seasonally adjusted",,2020,M12,2022,M03
EIUCOCANZ21                   ,U,CO,Canada-Mining,June 2012=100,"Monthly import price index by origin for NAICS 21, Mining, quarrying, and oil and gas extraction, Canada, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCANZ31                   ,U,CO,"Canada-Manufacturing, part 1",June 2012=100,"Monthly import price index by origin for NAICS 31, Manufacturing, part 1, Canada, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCANZ311                  ,U,CO,Canada-Food manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 311, Food manufacturing, Canada, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCANZ32                   ,U,CO,"Canada-Manufacturing, part 2",June 2012=100,"Monthly import price index by origin for NAICS 32, Manufacturing, part 2, Canada, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCANZ322                  ,U,CO,Canada-Paper manufacturing,December 2019=100,"Monthly import price index by origin for NAICS 322, Paper manufacturing, Canada, not seasonally adjusted",,2019,M12,2022,M03
EIUCOCANZ324                  ,U,CO,Canada-Petroleum and coal products manufacturing,December 2018=100,"Monthly import price index by origin for NAICS 324, Petroleum and coal products manufacturing, Canada, not seasonally adjusted",,2018,M12,2022,M03
EIUCOCANZ325                  ,U,CO,Canada-Chemical manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 325, Chemical manufacturing, Canada, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCANZ33                   ,U,CO,"Canada-Manufacturing, part 3",June 2012=100,"Monthly import price index by origin for NAICS 33, Manufacturing, part 3, Canada, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCANZ331                  ,U,CO,Canada-Primary metal manufacturing,December 2018=100,"Monthly import price index by origin for NAICS 331, Primary metal manufacturing, Canada, not seasonally adjusted",,2018,M12,2022,M03
EIUCOCANZ3314                 ,U,CO,Canada-Nonferrous metal (except aluminum) production and processing,December 2018=100,"Monthly import price index by origin for NAICS 3314, Nonferrous metal (except aluminum) production and processing, Canada, not seasonally adjusted",,2018,M12,2022,M03
EIUCOCANZ333                  ,U,CO,Canada-Machinery manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 333, Machinery manufacturing, Canada, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNTOT                   ,U,CO,China-All Industries,December 2003=100,"Monthly import price index by origin for NAICS, All industries, China, not seasonally adjusted",,2003,M12,2022,M03
EIUCOCHNZ31                   ,U,CO,"China-Manufacturing, part 1",June 2012=100,"Monthly import price index by origin for NAICS 31, Manufacturing, part 1, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ314                  ,U,CO,China-Textile product mills,June 2012=100,"Monthly import price index by origin for NAICS 314, Textile product mills, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3141                 ,U,CO,China-Textile furnishings mills,June 2012=100,"Monthly import price index by origin for NAICS 3141, Textile furnishings mills, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ315                  ,U,CO,China-Apparel manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 315, Apparel manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3152                 ,U,CO,China-Cut and sew apparel manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3152, Cut and sew apparel manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ316                  ,U,CO,China-Leather and allied product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 316, Leather and allied product manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3162                 ,U,CO,China-Footwear manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3162, Footwear manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ32                   ,U,CO,"China-Manufacturing, part 2",June 2012=100,"Monthly import price index by origin for NAICS 32, Manufacturing, part 2, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ325                  ,U,CO,China-Chemical manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 325, Chemical manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ326                  ,U,CO,China-Plastics and rubber products manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 326, Plastics and rubber products manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3261                 ,U,CO,China-Plastics product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3261, Plastics product manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ33                   ,U,CO,"China-Manufacturing, part 3",June 2012=100,"Monthly import price index by origin for NAICS 33, Manufacturing, part 3, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ332                  ,U,CO,China-Fabricated metal product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 332, Fabricated metal product manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3322                 ,U,CO,China-Cutlery and handtool manufacturing,December 2019=100,"Monthly import price index by origin for NAICS 3322, Cutlery and handtool manufacturing, China, not seasonally adjusted",,2019,M12,2022,M03
EIUCOCHNZ333                  ,U,CO,China-Machinery manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 333, Machinery manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ334                  ,U,CO,China-Computer and electronic product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 334, Computer and electronic product manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3341                 ,U,CO,China-Computer and peripheral equipment manufacturing,December 2018=100,"Monthly import price index by origin for NAICS 3341, Computer and peripheral equipment manufacturing, China, not seasonally adjusted",,2018,M12,2022,M03
EIUCOCHNZ3342                 ,U,CO,China-Communications equipment manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3342, Communications equipment manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3343                 ,U,CO,China-Audio and video equipment manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3343, Audio and video equipment manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3345                 ,U,CO,"China-Navigational, measuring, electromedical, and control instruments",June 2012=100,"Monthly import price index by origin for NAICS 3345, Navigational, measuring, electromedical, and control instruments manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ335                  ,U,CO,"China-Electrical equipment, appliance, and component manufacturing",June 2012=100,"Monthly import price index by origin for NAICS 335, Electrical equipment, appliance, and component manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3351                 ,U,CO,China-Electric lighting equipment manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3351, Electric lighting equipment manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3352                 ,U,CO,China-Household appliance manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3352, Household appliance manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ337                  ,U,CO,China-Furniture and related product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 337, Furniture and related product manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3371                 ,U,CO,China-Household and institutional furniture and kitchen cabinet manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3371, Household and institutional furniture and kitchen cabinet manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ339                  ,U,CO,China-Miscellaneous manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 339, Miscellaneous manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOCHNZ3399                 ,U,CO,China-Other miscellaneous manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3399, Other miscellaneous manufacturing, China, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECMANU                  ,U,CO,European Union-Manufacturing,2000=100,"Monthly import price index by origin for NAICS, Manufacturing, European Union, not seasonally adjusted",,1990,M12,2022,M03
EIUCOEECTOT                   ,U,CO,European Union-All Industries,2000=100,"Monthly import price index by origin for NAICS, All industries, European Union, not seasonally adjusted",,1990,M12,2022,M03
EIUCOEECZ31                   ,U,CO,"European Union-Manufacturing, part 1",June 2012=100,"Monthly import price index by origin for NAICS 31, Manufacturing, part 1, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ311                  ,U,CO,European Union-Food manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 311, Food manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ312                  ,U,CO,European Union-Beverage and tobacco product manufacturing,December 2019=100,"Monthly import price index by origin for NAICS 312, Beverage and tobacco product manufacturing, European Union, not seasonally adjusted",,2019,M12,2022,M03
EIUCOEECZ32                   ,U,CO,"European Union-Manufacturing, part 2",June 2012=100,"Monthly import price index by origin for NAICS 32, Manufacturing, part 2, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ324                  ,U,CO,European Union-Petroleum and coal products manufacturing,December 2018=100,"Monthly import price index by origin for NAICS 324, Petroleum and coal products manufacturing, European Union, not seasonally adjusted",,2018,M12,2022,M03
EIUCOEECZ325                  ,U,CO,European Union-Chemical manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 325, Chemical manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ3254                 ,U,CO,European Union-Pharmaceutical and medicine manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3254, Pharmaceutical and medicine manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ33                   ,U,CO,"European Union-Manufacturing, part 3",June 2012=100,"Monthly import price index by origin for NAICS 33, Manufacturing, part 3, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ331                  ,U,CO,European Union-Primary metal manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 331, Primary metal manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ3314                 ,U,CO,European Union-Nonferrous metal (except aluminum) production and processing,December 2019=100,"Monthly import price index by origin for NAICS 3314, Nonferrous metal (except aluminum) production and processing, European Union, not seasonally adjusted",,2019,M12,2022,M03
EIUCOEECZ332                  ,U,CO,European Union-Fabricated metal product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 332, Fabricated metal product manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ3329                 ,U,CO,European Union-Other fabricated metal product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3329, Other fabricated metal product manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ333                  ,U,CO,European Union-Machinery manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 333, Machinery manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ3331                 ,U,CO,"European Union-Agriculture, construction, and mining machinery manufacturing",June 2012=100,"Monthly import price index by origin for NAICS 3331, Agriculture, construction, and mining machinery manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ3332                 ,U,CO,European Union-Industrial machinery manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3332, Industrial machinery manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ3339                 ,U,CO,European Union-Other general purpose machinery manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3339, Other general purpose machinery manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ334                  ,U,CO,European Union-Computer and electronic product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 334, Computer and electronic product manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ335                  ,U,CO,"European Union-Electrical equipment, appliance, and component manufacturing",June 2012=100,"Monthly import price index by origin for NAICS 335, Electrical equipment, appliance, and component manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ336                  ,U,CO,European Union-Transportation equipment manufacturing,December 2021=100,"Monthly import price index by origin for NAICS 336, Transportation equipment manufacturing, European Union, not seasonally adjusted",,2021,M12,2022,M03
EIUCOEECZ3361                 ,U,CO,European Union-Motor vehicle manufacturing,December 2021=100,"Monthly import price index by origin for NAICS 3361, Motor vehicle manufacturing, European Union, not seasonally adjusted",,2021,M12,2022,M03
EIUCOEECZ339                  ,U,CO,European Union-Miscellaneous manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 339, Miscellaneous manufacturing, European Union, not seasonally adjusted",,2012,M06,2022,M03
EIUCOEECZ3391                 ,U,CO,European Union-Medical equipment and supplies manufacturing,December 2018=100,"Monthly import price index by origin for NAICS 3391, Medical equipment and supplies manufacturing, European Union, not seasonally adjusted",,2018,M12,2022,M03
EIUCOEECZ3399                 ,U,CO,European Union-Other miscellaneous manufacturing,December 2018=100,"Monthly import price index by origin for NAICS 3399, Other miscellaneous manufacturing, European Union, not seasonally adjusted",,2018,M12,2022,M03
EIUCOFRNTOT                   ,U,CO,France-All Industries,December 2003=100,"Monthly import price index by origin for NAICS, All industries, France, not seasonally adjusted",,2003,M12,2022,M03
EIUCOGERTOT                   ,U,CO,Germany-All Industries,December 2003=100,"Monthly import price index by origin for NAICS, All industries, Germany, not seasonally adjusted",,2003,M12,2022,M03
EIUCOGERZ33                   ,U,CO,"Germany-Manufacturing, part 3",June 2012=100,"Monthly import price index by origin for NAICS 33, Manufacturing, part 3, Germany, not seasonally adjusted",,2012,M06,2022,M03
EIUCOGERZ333                  ,U,CO,Germany-Machinery manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 333, Machinery manufacturing, Germany, not seasonally adjusted",,2012,M06,2022,M03
EIUCOGERZ334                  ,U,CO,Germany-Computer and electronic product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 334, Computer and electronic product manufacturing, Germany, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSMANU                ,U,CO,Industrialized Countries-Manufacturing,2000=100,"Monthly import price index by origin for NAICS, Manufacturing, Industrialized Countries, not seasonally adjusted",,1990,M12,2022,M03
EIUCOINDUSNONM                ,U,CO,Industrialized Countries-Nonmanufacturing,2000=100,"Monthly import price index by origin for NAICS, Nonmanufacturing, Industrialized Countries, not seasonally adjusted",,1990,M12,2022,M03
EIUCOINDUSTOT                 ,U,CO,Industrialized Countries-All Industries,2000=100,"Monthly import price index by origin for NAICS, All industries, Industrialized Countries, not seasonally adjusted",2.0,1990,M12,2022,M03
EIUCOINDUSZ21                 ,U,CO,Industrialized Countries-Mining,June 2012=100,"Monthly import price index by origin for NAICS 21, Mining, quarrying, and oil and gas extraction, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ31                 ,U,CO,"Industrialized Countries-Manufacturing, part 1",June 2012=100,"Monthly import price index by origin for NAICS 31, Manufacturing, part 1, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ311                ,U,CO,Industrialized Countries-Food manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 311, Food manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ3116               ,U,CO,Industrialized Countries-Animal slaughtering and processing,June 2012=100,"Monthly import price index by origin for NAICS 3116, Animal slaughtering and processing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ312                ,U,CO,Industrialized Countries-Beverage and tobacco product manufacturing,December 2019=100,"Monthly import price index by origin for NAICS 312, Beverage and tobacco product manufacturing, Industrialized Countries, not seasonally adjusted",,2019,M12,2022,M03
EIUCOINDUSZ32                 ,U,CO,"Industrialized Countries-Manufacturing, part 2",June 2012=100,"Monthly import price index by origin for NAICS 32, Manufacturing, part 2, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ322                ,U,CO,Industrialized Countries-Paper manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 322, Paper manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ324                ,U,CO,Industrialized Countries-Petroleum and coal products manufacturing,December 2018=100,"Monthly import price index by origin for NAICS 324, Petroleum and coal products manufacturing, Industrialized Countries, not seasonally adjusted",,2018,M12,2022,M03
EIUCOINDUSZ325                ,U,CO,Industrialized Countries-Chemical manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 325, Chemical manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ3251               ,U,CO,Industrialized Countries-Basic chemical manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3251, Basic chemical manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ3254               ,U,CO,Industrialized Countries-Pharmaceutical and medicine manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3254, Pharmaceutical and medicine manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ326                ,U,CO,Industrialized Countries-Plastics and rubber products manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 326, Plastics and rubber products manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ33                 ,U,CO,"Industrialized Countries-Manufacturing, part 3",June 2012=100,"Monthly import price index by origin for NAICS 33, Manufacturing, part 3, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ331                ,U,CO,Industrialized Countries-Primary metal manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 331, Primary metal manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ3313               ,U,CO,Industrialized Countries-Alumina and aluminum production and processing,December 2019=100,"Monthly import price index by origin for NAICS 3313, Alumina and aluminum production and processing, Industrialized Countries, not seasonally adjusted",,2019,M12,2022,M03
EIUCOINDUSZ3314               ,U,CO,Industrialized Countries-Nonferrous metal (except aluminum) production and processing,June 2012=100,"Monthly import price index by origin for NAICS 3314, Nonferrous metal (except aluminum) production and processing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ332                ,U,CO,Industrialized Countries-Fabricated metal product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 332, Fabricated metal product manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ3329               ,U,CO,Industrialized Countries-Other fabricated metal product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3329, Other fabricated metal product manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ333                ,U,CO,Industrialized Countries-Machinery manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 333, Machinery manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ3331               ,U,CO,"Industrialized Countries-Agriculture, construction, and mining machinery manufacturing",June 2012=100,"Monthly import price index by origin for NAICS 3331, Agriculture, construction, and mining machinery manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ3332               ,U,CO,Industrialized Countries-Industrial machinery manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3332, Industrial machinery manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ3333               ,U,CO,Industrialized Countries-Commercial and service industry machinery manufacturing,December 2020=100,"Monthly import price index by origin for NAICS 3333, Commercial and service industry machinery manufacturing, Industrialized Countries, not seasonally adjusted",,2020,M12,2022,M03
EIUCOINDUSZ3339               ,U,CO,Industrialized Countries-Other general purpose machinery manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 3339, Other general purpose machinery manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
EIUCOINDUSZ334                ,U,CO,Industrialized Countries-Computer and electronic product manufacturing,June 2012=100,"Monthly import price index by origin for NAICS 334, Computer and electronic product manufacturing, Industrialized Countries, not seasonally adjusted",,2012,M06,2022,M03
