series_id        ,sector_code,measure_code,duration_code,base_year,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
MPU0011711       ,11,71,1,-,"Services share for Agriculture, forestry, fishery, and hunting (NAICS 11), Levels",,1987,A01,2020,A01
MPU0011742       ,11,74,2,2012,"Contribution of energy intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011743       ,11,74,3,-,"Contribution of energy intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011762       ,11,76,2,2012,"Contribution of materials intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011763       ,11,76,3,-,"Contribution of materials intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011772       ,11,77,2,2012,"Contribution of services intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011773       ,11,77,3,-,"Contribution of services intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011782       ,11,78,2,2012,"Contribution of intermediate inputs intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011783       ,11,78,3,-,"Contribution of intermediate inputs intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0021012       ,21,1,2,2012,"Total factor productivity for Mining (NAICS 21), Indexes = 100.000",4.0,1987,A01,2020,A01
MPU0021013       ,21,1,3,-,"Total factor productivity for Mining (NAICS 21), % Change Year Ago",4.0,1988,A01,2020,A01
MPU0021032       ,21,3,2,2012,"Combined inputs for Mining (NAICS 21), Indexes = 100.000",6.0,1987,A01,2020,A01
MPU0021033       ,21,3,3,-,"Combined inputs for Mining (NAICS 21), % Change Year Ago",6.0,1988,A01,2020,A01
MPU0021042       ,21,4,2,2012,"Capital input for Mining (NAICS 21), Indexes = 100.000",0.0,1987,A01,2020,A01
MPU0021043       ,21,4,3,-,"Capital input for Mining (NAICS 21), % Change Year Ago",0.0,1988,A01,2020,A01
MPU0021052       ,21,5,2,2012,"Labor input for Mining (NAICS 21), Indexes = 100.000",3.0,1987,A01,2020,A01
MPU0021053       ,21,5,3,-,"Labor input for Mining (NAICS 21), % Change Year Ago",3.0,1988,A01,2020,A01
MPU0021062       ,21,6,2,2012,"Labor productivity for Mining (NAICS 21), Indexes = 100.000",8.0,1987,A01,2020,A01
MPU0021063       ,21,6,3,-,"Labor productivity for Mining (NAICS 21), % Change Year Ago",8.0,1988,A01,2020,A01
MPU0021072       ,21,7,2,2012,"Capital productivity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021073       ,21,7,3,-,"Capital productivity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021082       ,21,8,2,2012,"Capital intensity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021083       ,21,8,3,-,"Capital intensity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021152       ,21,15,2,2012,"Contribution of capital intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021153       ,21,15,3,-,"Contribution of capital intensity to labor productivity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021162       ,21,16,2,2012,"Contribution of information processing equipment (IPE) intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021163       ,21,16,3,-,"Contribution of information processing equipment (IPE) intensity to labor productivity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021172       ,21,17,2,2012,"Contribution of capital input excluding IPP and IPE intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021173       ,21,17,3,-,"Contribution of capital input excluding IPP and IPE intensity to labor productivity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021182       ,21,18,2,2012,"Contribution of labor composition to labor productivity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021183       ,21,18,3,-,"Contribution of labor composition to labor productivity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021192       ,21,19,2,2012,"Contribution of research and development (R&D) intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021193       ,21,19,3,-,"Contribution of research and development (R&D) intensity to labor productivity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021202       ,21,20,2,2012,"Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021203       ,21,20,3,-,"Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021512       ,21,51,2,2012,"Real sectoral output for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021513       ,21,51,3,-,"Real sectoral output for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021552       ,21,55,2,2012,"Energy input for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021553       ,21,55,3,-,"Energy input for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021562       ,21,56,2,2012,"Materials input for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021563       ,21,56,3,-,"Materials input for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021572       ,21,57,2,2012,"Services Input for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021573       ,21,57,3,-,"Services Input for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021611       ,21,61,1,-,"Sectoral output, billions of current dollars for Mining (NAICS 21), Levels",,1987,A01,2020,A01
MPU0021621       ,21,62,1,-,"Capital costs, billions of current dollars for Mining (NAICS 21), Levels",,1987,A01,2020,A01
MPU0021631       ,21,63,1,-,"Labor costs, billions of current dollars for Mining (NAICS 21), Levels",,1987,A01,2020,A01
MPU0021641       ,21,64,1,-,"Energy costs, billions of current dollars for Mining (NAICS 21), Levels",,1987,A01,2020,A01
MPU0021651       ,21,65,1,-,"Materials costs, billions of current dollars for Mining (NAICS 21), Levels",,1987,A01,2020,A01
MPU0021661       ,21,66,1,-,"Services costs, billions of current dollars for Mining (NAICS 21), Levels",,1987,A01,2020,A01
MPU0021671       ,21,67,1,-,"Capital share for Mining (NAICS 21), Levels",,1987,A01,2020,A01
MPU0021681       ,21,68,1,-,"Labor share for Mining (NAICS 21), Levels",,1987,A01,2020,A01
MPU0021691       ,21,69,1,-,"Energy share for Mining (NAICS 21), Levels",,1987,A01,2020,A01
MPU0021701       ,21,70,1,-,"Materials share for Mining (NAICS 21), Levels",,1987,A01,2020,A01
MPU0021711       ,21,71,1,-,"Services share for Mining (NAICS 21), Levels",,1987,A01,2020,A01
MPU0021742       ,21,74,2,2012,"Contribution of energy intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021743       ,21,74,3,-,"Contribution of energy intensity to labor productivity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021762       ,21,76,2,2012,"Contribution of materials intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021763       ,21,76,3,-,"Contribution of materials intensity to labor productivity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021772       ,21,77,2,2012,"Contribution of services intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021773       ,21,77,3,-,"Contribution of services intensity to labor productivity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0021782       ,21,78,2,2012,"Contribution of intermediate inputs intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000",,1987,A01,2020,A01
MPU0021783       ,21,78,3,-,"Contribution of intermediate inputs intensity to labor productivity for Mining (NAICS 21), % Change Year Ago",,1988,A01,2020,A01
MPU0022012       ,22,1,2,2012,"Total factor productivity for Utilities (NAICS 22), Indexes = 100.000",4.0,1987,A01,2020,A01
MPU0022013       ,22,1,3,-,"Total factor productivity for Utilities (NAICS 22), % Change Year Ago",4.0,1988,A01,2020,A01
MPU0022032       ,22,3,2,2012,"Combined inputs for Utilities (NAICS 22), Indexes = 100.000",6.0,1987,A01,2020,A01
MPU0022033       ,22,3,3,-,"Combined inputs for Utilities (NAICS 22), % Change Year Ago",6.0,1988,A01,2020,A01
MPU0022042       ,22,4,2,2012,"Capital input for Utilities (NAICS 22), Indexes = 100.000",0.0,1987,A01,2020,A01
MPU0022043       ,22,4,3,-,"Capital input for Utilities (NAICS 22), % Change Year Ago",0.0,1988,A01,2020,A01
MPU0022052       ,22,5,2,2012,"Labor input for Utilities (NAICS 22), Indexes = 100.000",3.0,1987,A01,2020,A01
MPU0022053       ,22,5,3,-,"Labor input for Utilities (NAICS 22), % Change Year Ago",3.0,1988,A01,2020,A01
MPU0022062       ,22,6,2,2012,"Labor productivity for Utilities (NAICS 22), Indexes = 100.000",8.0,1987,A01,2020,A01
MPU0022063       ,22,6,3,-,"Labor productivity for Utilities (NAICS 22), % Change Year Ago",8.0,1988,A01,2020,A01
MPU0022072       ,22,7,2,2012,"Capital productivity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022073       ,22,7,3,-,"Capital productivity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022082       ,22,8,2,2012,"Capital intensity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022083       ,22,8,3,-,"Capital intensity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022152       ,22,15,2,2012,"Contribution of capital intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022153       ,22,15,3,-,"Contribution of capital intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022162       ,22,16,2,2012,"Contribution of information processing equipment (IPE) intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022163       ,22,16,3,-,"Contribution of information processing equipment (IPE) intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022172       ,22,17,2,2012,"Contribution of capital input excluding IPP and IPE intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022173       ,22,17,3,-,"Contribution of capital input excluding IPP and IPE intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022182       ,22,18,2,2012,"Contribution of labor composition to labor productivity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022183       ,22,18,3,-,"Contribution of labor composition to labor productivity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022192       ,22,19,2,2012,"Contribution of research and development (R&D) intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022193       ,22,19,3,-,"Contribution of research and development (R&D) intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022202       ,22,20,2,2012,"Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022203       ,22,20,3,-,"Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022512       ,22,51,2,2012,"Real sectoral output for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022513       ,22,51,3,-,"Real sectoral output for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022552       ,22,55,2,2012,"Energy input for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022553       ,22,55,3,-,"Energy input for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022562       ,22,56,2,2012,"Materials input for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022563       ,22,56,3,-,"Materials input for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022572       ,22,57,2,2012,"Services Input for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022573       ,22,57,3,-,"Services Input for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022611       ,22,61,1,-,"Sectoral output, billions of current dollars for Utilities (NAICS 22), Levels",,1987,A01,2020,A01
MPU0022621       ,22,62,1,-,"Capital costs, billions of current dollars for Utilities (NAICS 22), Levels",,1987,A01,2020,A01
MPU0022631       ,22,63,1,-,"Labor costs, billions of current dollars for Utilities (NAICS 22), Levels",,1987,A01,2020,A01
MPU0022641       ,22,64,1,-,"Energy costs, billions of current dollars for Utilities (NAICS 22), Levels",,1987,A01,2020,A01
MPU0022651       ,22,65,1,-,"Materials costs, billions of current dollars for Utilities (NAICS 22), Levels",,1987,A01,2020,A01
MPU0022661       ,22,66,1,-,"Services costs, billions of current dollars for Utilities (NAICS 22), Levels",,1987,A01,2020,A01
MPU0022671       ,22,67,1,-,"Capital share for Utilities (NAICS 22), Levels",,1987,A01,2020,A01
MPU0022681       ,22,68,1,-,"Labor share for Utilities (NAICS 22), Levels",,1987,A01,2020,A01
MPU0022691       ,22,69,1,-,"Energy share for Utilities (NAICS 22), Levels",,1987,A01,2020,A01
MPU0022701       ,22,70,1,-,"Materials share for Utilities (NAICS 22), Levels",,1987,A01,2020,A01
MPU0022711       ,22,71,1,-,"Services share for Utilities (NAICS 22), Levels",,1987,A01,2020,A01
MPU0022742       ,22,74,2,2012,"Contribution of energy intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022743       ,22,74,3,-,"Contribution of energy intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022762       ,22,76,2,2012,"Contribution of materials intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022763       ,22,76,3,-,"Contribution of materials intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022772       ,22,77,2,2012,"Contribution of services intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022773       ,22,77,3,-,"Contribution of services intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0022782       ,22,78,2,2012,"Contribution of intermediate inputs intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000",,1987,A01,2020,A01
MPU0022783       ,22,78,3,-,"Contribution of intermediate inputs intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago",,1988,A01,2020,A01
MPU0023012       ,23,1,2,2012,"Total factor productivity for Construction (NAICS 23), Indexes = 100.000",4.0,1987,A01,2020,A01
MPU0023013       ,23,1,3,-,"Total factor productivity for Construction (NAICS 23), % Change Year Ago",4.0,1988,A01,2020,A01
MPU0023032       ,23,3,2,2012,"Combined inputs for Construction (NAICS 23), Indexes = 100.000",6.0,1987,A01,2020,A01
MPU0023033       ,23,3,3,-,"Combined inputs for Construction (NAICS 23), % Change Year Ago",6.0,1988,A01,2020,A01
MPU0023042       ,23,4,2,2012,"Capital input for Construction (NAICS 23), Indexes = 100.000",0.0,1987,A01,2020,A01
MPU0023043       ,23,4,3,-,"Capital input for Construction (NAICS 23), % Change Year Ago",0.0,1988,A01,2020,A01
MPU0023052       ,23,5,2,2012,"Labor input for Construction (NAICS 23), Indexes = 100.000",3.0,1987,A01,2020,A01
MPU0023053       ,23,5,3,-,"Labor input for Construction (NAICS 23), % Change Year Ago",3.0,1988,A01,2020,A01
MPU0023062       ,23,6,2,2012,"Labor productivity for Construction (NAICS 23), Indexes = 100.000",8.0,1987,A01,2020,A01
MPU0023063       ,23,6,3,-,"Labor productivity for Construction (NAICS 23), % Change Year Ago",8.0,1988,A01,2020,A01
MPU0023072       ,23,7,2,2012,"Capital productivity for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023073       ,23,7,3,-,"Capital productivity for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023082       ,23,8,2,2012,"Capital intensity for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023083       ,23,8,3,-,"Capital intensity for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023152       ,23,15,2,2012,"Contribution of capital intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023153       ,23,15,3,-,"Contribution of capital intensity to labor productivity for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023162       ,23,16,2,2012,"Contribution of information processing equipment (IPE) intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023163       ,23,16,3,-,"Contribution of information processing equipment (IPE) intensity to labor productivity for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023172       ,23,17,2,2012,"Contribution of capital input excluding IPP and IPE intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023173       ,23,17,3,-,"Contribution of capital input excluding IPP and IPE intensity to labor productivity for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023182       ,23,18,2,2012,"Contribution of labor composition to labor productivity for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023183       ,23,18,3,-,"Contribution of labor composition to labor productivity for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023192       ,23,19,2,2012,"Contribution of research and development (R&D) intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023193       ,23,19,3,-,"Contribution of research and development (R&D) intensity to labor productivity for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023202       ,23,20,2,2012,"Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023203       ,23,20,3,-,"Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023512       ,23,51,2,2012,"Real sectoral output for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023513       ,23,51,3,-,"Real sectoral output for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023552       ,23,55,2,2012,"Energy input for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023553       ,23,55,3,-,"Energy input for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023562       ,23,56,2,2012,"Materials input for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023563       ,23,56,3,-,"Materials input for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023572       ,23,57,2,2012,"Services Input for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023573       ,23,57,3,-,"Services Input for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023611       ,23,61,1,-,"Sectoral output, billions of current dollars for Construction (NAICS 23), Levels",,1987,A01,2020,A01
MPU0023621       ,23,62,1,-,"Capital costs, billions of current dollars for Construction (NAICS 23), Levels",,1987,A01,2020,A01
MPU0023631       ,23,63,1,-,"Labor costs, billions of current dollars for Construction (NAICS 23), Levels",,1987,A01,2020,A01
MPU0023641       ,23,64,1,-,"Energy costs, billions of current dollars for Construction (NAICS 23), Levels",,1987,A01,2020,A01
MPU0023651       ,23,65,1,-,"Materials costs, billions of current dollars for Construction (NAICS 23), Levels",,1987,A01,2020,A01
MPU0023661       ,23,66,1,-,"Services costs, billions of current dollars for Construction (NAICS 23), Levels",,1987,A01,2020,A01
MPU0023671       ,23,67,1,-,"Capital share for Construction (NAICS 23), Levels",,1987,A01,2020,A01
MPU0023681       ,23,68,1,-,"Labor share for Construction (NAICS 23), Levels",,1987,A01,2020,A01
MPU0023691       ,23,69,1,-,"Energy share for Construction (NAICS 23), Levels",,1987,A01,2020,A01
MPU0023701       ,23,70,1,-,"Materials share for Construction (NAICS 23), Levels",,1987,A01,2020,A01
MPU0023711       ,23,71,1,-,"Services share for Construction (NAICS 23), Levels",,1987,A01,2020,A01
MPU0023742       ,23,74,2,2012,"Contribution of energy intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
MPU0023743       ,23,74,3,-,"Contribution of energy intensity to labor productivity for Construction (NAICS 23), % Change Year Ago",,1988,A01,2020,A01
MPU0023762       ,23,76,2,2012,"Contribution of materials intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000",,1987,A01,2020,A01
