Record Date,Parent ID,Classification ID,Classification Description,Current Month Receipt or Outlay Amount,Current FYTD Receipt or Outlay Amount,Prior FYTD Receipt or Outlay Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2020-12-31","44804321","44804322","National Defense","70244792168.65","204392135964.38","196340831455.67","9","14","14","140","D","F","2","2.1","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804323","International Affairs","4114595618.67","14273393504.40","11905785368.24","9","15","15","150","D","F","2","2.2","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804324","General Science, Space, and Technology","3444120198.32","9511585021.39","9103343064.50","9","16","16","160","D","F","2","2.3","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804325","Energy","858991705.24","1927553160.55","1479890380.51","9","17","17","170","D","F","2","2.4","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804326","Natural Resources and Environment","4317512613.51","12364467231.81","11271915215.41","9","18","18","180","D","F","2","2.5","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804327","Agriculture","6855260491.65","31931203857.29","23103611359.07","9","19","19","190","D","F","2","2.6","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804328","Commerce and Housing Credit","-894285753.82","8979667718.17","8620658750.82","9","20","20","200","D","F","2","2.7","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804329","Transportation","11561387989.22","30410506864.78","24920876220.26","9","21","21","210","D","F","2","2.8","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804330","Community and Regional Development","3805628689.04","18841636988.02","6921906712.81","9","22","22","220","D","F","2","2.9","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804331","Education, Training, Employment, and Social Services","9701019635.82","29648311960.11","25438726492.62","9","23","23","230","D","F","2","2.10","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804332","Health","72037821312.15","191297951173.95","149812414201.16","9","24","24","240","D","F","2","2.11","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804333","Medicare","52538841053.79","170843062105.94","165545663676.49","9","25","25","250","D","F","2","2.12","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804334","Income Security","77403440842.69","207277628327.38","117050597360.93","9","26","26","260","D","F","2","2.13","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804335","Social Security","117285643369.85","302608168776.86","266159807816.38","9","27","27","270","D","F","2","2.14","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804336","Veterans Benefits and Services","28116638973.64","66939245914.94","61905303731.00","9","28","28","280","D","F","2","2.15","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804337","Administration of Justice","6387876886.85","18492796029.25","17697722707.67","9","29","29","290","D","F","2","2.16","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804338","General Government","4345246985.07","11340635734.79","4468780773.41","9","30","30","300","D","F","2","2.17","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804339","Net Interest","25587470706.70","87281195558.50","99380210569.70","9","31","31","320","D","F","2","2.18","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804341","Undistributed Offsetting Receipts","-8030447651.00","-42092227358.58","-38024696798.24","9","32","32","330","D","F","2","2.19","2021","1","2020","4","12","31"
"2020-12-31","44804321","44804342","Total","489681555836.04","1376268918533.93","1163103349058.41","9","33","33","340","T","SL","2","2.20","2021","1","2020","4","12","31"
"2020-11-30","null","44491250","Receipts","null","null","null","9","1","1","10","S","SL","1","1","2021","1","2020","4","11","30"
"2020-11-30","44491250","44491251","Individual Income Taxes","93775289361.01","202522868497.84","232152660359.42","9","2","2","20","D","RSG","2","1.1","2021","1","2020","4","11","30"
"2020-11-30","44491250","44491252","Corporation Income Taxes","-3192121638.32","5959908231.00","7103151002.17","9","3","3","30","D","RSG","2","1.2","2021","1","2020","4","11","30"
"2020-11-30","44491250","44491253","Social Insurance and Retirement Receipts:","null","null","null","9","4","4","40","S","RSG","2","1.3","2021","1","2020","4","11","30"
"2020-11-30","44491253","44491254","Employment and General Retirement","101445174928.46","194900169883.12","180324741331.65","9","5","5","50","D","RSG","3","1.3.1","2021","1","2020","4","11","30"
"2020-11-30","44491253","44491255","Unemployment Insurance","3809967254.61","5701352511.06","5352748816.01","9","6","6","60","D","RSG","3","1.3.2","2021","1","2020","4","11","30"
"2020-11-30","44491253","44491256","Other Retirement","466160491.23","987828828.96","874607148.39","9","7","7","70","D","RSG","3","1.3.3","2021","1","2020","4","11","30"
"2020-11-30","44491250","44491257","Excise Taxes","5601608179.74","10348943277.10","13549805533.19","9","8","8","80","D","RSG","2","1.4","2021","1","2020","4","11","30"
"2020-11-30","44491250","44491258","Estate and Gift Taxes","1838586407.65","3987095402.96","2929397769.35","9","9","9","90","D","RSG","2","1.5","2021","1","2020","4","11","30"
"2020-11-30","44491250","44491259","Customs Duties","5965298349.11","12121226628.67","14697641608.52","9","10","10","100","D","RSG","2","1.6","2021","1","2020","4","11","30"
"2020-11-30","44491250","44491260","Miscellaneous Receipts","9842632254.61","20721168734.49","13721644049.48","9","11","11","110","D","RSG","2","1.7","2021","1","2020","4","11","30"
"2020-11-30","44491250","44491261","Total","219552595588.10","457250561995.20","470706397618.18","9","12","12","120","T","SL","2","1.8","2021","1","2020","4","11","30"
"2020-11-30","null","44491262","Net Outlays","null","null","null","9","13","13","130","S","SL","1","2","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491263","National Defense","54461281938.93","134147343785.82","134325380220.17","9","14","14","140","D","F","2","2.1","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491264","International Affairs","5568554431.79","10158797885.73","9697843527.44","9","15","15","150","D","F","2","2.2","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491265","General Science, Space, and Technology","2784476088.72","6067464823.07","5806437510.73","9","16","16","160","D","F","2","2.3","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491266","Energy","633929263.55","1068561455.31","797282159.18","9","17","17","170","D","F","2","2.4","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491267","Natural Resources and Environment","3880120206.94","8046954618.30","6965981491.99","9","18","18","180","D","F","2","2.5","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491268","Agriculture","6248704739.02","25075943365.64","18417372929.66","9","19","19","190","D","F","2","2.6","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491269","Commerce and Housing Credit","3811847254.28","9873953471.99","8900537509.52","9","20","20","200","D","F","2","2.7","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491270","Transportation","9110347537.62","18850140747.59","16853484969.52","9","21","21","210","D","F","2","2.8","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491271","Community and Regional Development","4636495976.25","15036011498.98","4784662128.24","9","22","22","220","D","F","2","2.9","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491272","Education, Training, Employment, and Social Services","9321798974.35","19947292324.29","18244677307.84","9","23","23","230","D","F","2","2.10","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491273","Health","56177731807.86","119260129861.80","101046680467.45","9","24","24","240","D","F","2","2.11","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491274","Medicare","22034316403.93","118304221052.15","139151070331.92","9","25","25","250","D","F","2","2.12","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491275","Income Security","57129858527.03","129874187484.69","77901707005.31","9","26","26","260","D","F","2","2.13","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491276","Social Security","92376508636.00","185322525407.01","177884905794.73","9","27","27","270","D","F","2","2.14","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491277","Veterans Benefits and Services","8908343484.44","38822606941.30","44837328055.59","9","28","28","280","D","F","2","2.15","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491278","Administration of Justice","6724683039.45","12104919142.40","10803452754.02","9","29","29","290","D","F","2","2.16","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491279","General Government","-284351811.01","6994363687.60","2977767749.26","9","30","30","300","D","F","2","2.17","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491280","Net Interest","29254713492.63","61693724851.80","64856437450.77","9","31","31","320","D","F","2","2.18","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491282","Undistributed Offsetting Receipts","-7960500873.83","-34061779707.58","-30240938278.61","9","32","32","330","D","F","2","2.19","2021","1","2020","4","11","30"
"2020-11-30","44491262","44491283","Total","364818859117.95","886587362697.89","814012071084.73","9","33","33","340","T","SL","2","2.20","2021","1","2020","4","11","30"
"2020-10-31","null","44315360","Receipts","null","null","null","9","1","1","10","S","SL","1","1","2021","1","2020","4","10","31"
"2020-10-31","44315360","44315361","Individual Income Taxes","108747579136.83","108747579136.83","126388998380.96","9","2","2","20","D","RSG","2","1.1","2021","1","2020","4","10","31"
"2020-10-31","44315360","44315362","Corporation Income Taxes","9152029869.32","9152029869.32","6570667363.56","9","3","3","30","D","RSG","2","1.2","2021","1","2020","4","10","31"
"2020-10-31","44315360","44315363","Social Insurance and Retirement Receipts:","null","null","null","9","4","4","40","S","RSG","2","1.3","2021","1","2020","4","10","31"
"2020-10-31","44315363","44315364","Employment and General Retirement","93454994954.66","93454994954.66","86670680798.53","9","5","5","50","D","RSG","3","1.3.1","2021","1","2020","4","10","31"
"2020-10-31","44315363","44315365","Unemployment Insurance","1891385256.45","1891385256.45","2757065598.99","9","6","6","60","D","RSG","3","1.3.2","2021","1","2020","4","10","31"
"2020-10-31","44315363","44315366","Other Retirement","521668337.73","521668337.73","388938047.22","9","7","7","70","D","RSG","3","1.3.3","2021","1","2020","4","10","31"
"2020-10-31","44315360","44315367","Excise Taxes","4747335097.36","4747335097.36","6036511086.18","9","8","8","80","D","RSG","2","1.4","2021","1","2020","4","10","31"
"2020-10-31","44315360","44315368","Estate and Gift Taxes","2148508995.31","2148508995.31","1690552278.47","9","9","9","90","D","RSG","2","1.5","2021","1","2020","4","10","31"
"2020-10-31","44315360","44315369","Customs Duties","6155928279.56","6155928279.56","7757405617.51","9","10","10","100","D","RSG","2","1.6","2021","1","2020","4","10","31"
"2020-10-31","44315360","44315370","Miscellaneous Receipts","10878536479.88","10878536479.88","7260162949.48","9","11","11","110","D","RSG","2","1.7","2021","1","2020","4","10","31"
"2020-10-31","44315360","44315371","Total","237697966407.10","237697966407.10","245520982120.90","9","12","12","120","T","SL","2","1.8","2021","1","2020","4","10","31"
"2020-10-31","null","44315372","Net Outlays","null","null","null","9","13","13","130","S","SL","1","2","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315373","National Defense","79686061846.89","79686061846.89","71399428913.82","9","14","14","140","D","F","2","2.1","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315374","International Affairs","4590243453.94","4590243453.94","3850726656.48","9","15","15","150","D","F","2","2.2","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315375","General Science, Space, and Technology","3282988734.35","3282988734.35","2915146652.83","9","16","16","160","D","F","2","2.3","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315376","Energy","434632191.76","434632191.76","446905327.04","9","17","17","170","D","F","2","2.4","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315377","Natural Resources and Environment","4166834411.36","4166834411.36","3538252758.55","9","18","18","180","D","F","2","2.5","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315378","Agriculture","18827238626.62","18827238626.62","9466836359.82","9","19","19","190","D","F","2","2.6","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315379","Commerce and Housing Credit","6062106217.71","6062106217.71","4282742972.78","9","20","20","200","D","F","2","2.7","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315380","Transportation","9739793209.97","9739793209.97","8869773949.58","9","21","21","210","D","F","2","2.8","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315381","Community and Regional Development","10399515522.73","10399515522.73","2387647179.49","9","22","22","220","D","F","2","2.9","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315382","Education, Training, Employment, and Social Services","10625493349.94","10625493349.94","11103488221.75","9","23","23","230","D","F","2","2.10","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315383","Health","63082398053.94","63082398053.94","51347751546.89","9","24","24","240","D","F","2","2.11","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315384","Medicare","96269904648.22","96269904648.22","55950002586.96","9","25","25","250","D","F","2","2.12","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315385","Income Security","72744328957.66","72744328957.66","30970566488.76","9","26","26","260","D","F","2","2.13","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315386","Social Security","92946016771.01","92946016771.01","88989485106.27","9","27","27","270","D","F","2","2.14","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315387","Veterans Benefits and Services","29914263456.86","29914263456.86","17631853151.15","9","28","28","280","D","F","2","2.15","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315388","Administration of Justice","5380236102.95","5380236102.95","5364004025.14","9","29","29","290","D","F","2","2.16","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315389","General Government","7278715498.61","7278715498.61","1877960991.95","9","30","30","300","D","F","2","2.17","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315390","Net Interest","32439011359.17","32439011359.17","32517001819.16","9","31","31","320","D","F","2","2.18","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315392","Undistributed Offsetting Receipts","-26101278833.75","-26101278833.75","-22921213577.71","9","32","32","330","D","F","2","2.19","2021","1","2020","4","10","31"
"2020-10-31","44315372","44315393","Total","521768503579.94","521768503579.94","379988361130.71","9","33","33","340","T","SL","2","2.20","2021","1","2020","4","10","31"
"2020-09-30","null","43670699","Receipts","null","null","null","9","1","1","10","S","SL","1","1","2020","4","2020","3","09","30"
"2020-09-30","43670699","43670700","Individual Income Taxes","161478035083.22","1608661926485.33","1717857487901.92","9","2","2","20","D","RSG","2","1.1","2020","4","2020","3","09","30"
"2020-09-30","43670699","43670701","Corporation Income Taxes","49660133580.85","211844662323.66","230244746813.76","9","3","3","30","D","RSG","2","1.2","2020","4","2020","3","09","30"
"2020-09-30","43670699","43670702","Social Insurance and Retirement Receipts:","null","null","null","9","4","4","40","S","RSG","2","1.3","2020","4","2020","3","09","30"
"2020-09-30","43670702","43670703","Employment and General Retirement","112599927940.81","1261650036143.35","1197393962693.75","9","5","5","50","D","RSG","3","1.3.1","2020","4","2020","3","09","30"
"2020-09-30","43670702","43670704","Unemployment Insurance","2080812828.03","43103787706.28","40933978371.21","9","6","6","60","D","RSG","3","1.3.2","2020","4","2020","3","09","30"
"2020-09-30","43670702","43670705","Other Retirement","422308001.22","5200612525.77","4786739632.46","9","7","7","70","D","RSG","3","1.3.3","2020","4","2020","3","09","30"
"2020-09-30","43670699","43670706","Excise Taxes","26197646500.19","86782067345.86","98914554367.88","9","8","8","80","D","RSG","2","1.4","2020","4","2020","3","09","30"
"2020-09-30","43670699","43670707","Estate and Gift Taxes","2149233426.03","17624156021.78","16671532322.28","9","9","9","90","D","RSG","2","1.5","2020","4","2020","3","09","30"
"2020-09-30","43670699","43670708","Customs Duties","6049394549.12","68550229845.51","70783723012.49","9","10","10","100","D","RSG","2","1.6","2020","4","2020","3","09","30"
