Record Date,Parent ID,Classification ID,Classification Description,Current Month Receipt or Outlay Amount,Current FYTD Receipt or Outlay Amount,Prior FYTD Receipt or Outlay Amount,Current Year Budget Estimate Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2021-02-28","45568499","45568543","Total Receipts","248314056776.18","1436334441129.66","1366750252521.82","3863293000000.00","3","13","13","130","T","SLB","2","1.8","2021","2","2021","1","02","28"
"2021-02-28","45568543","45568546","(On-Budget)","173852056776.18","1046152407553.78","990095456093.91","2852257000000.00","3","14","14","140","T","SLB","3","1.8.1","2021","2","2021","1","02","28"
"2021-02-28","45568543","45568548","(Off-Budget)","74462000000.00","390182033575.88","376654796427.91","1011036000000.00","3","15","15","150","T","SLB","3","1.8.2","2021","2","2021","1","02","28"
"2021-02-28","null","45568550","Budget Outlays","null","null","null","null","3","16","16","160","S","SLB","1","2","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568553","Legislative Branch","391225182.22","2228356650.66","2239146608.49","5795000000.00","3","17","17","170","D","C","2","2.1","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568555","Judicial Branch","648013680.64","3437423024.80","3486805119.37","8993000000.00","3","18","18","180","D","C","2","2.2","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568557","Department of Agriculture","14259464313.45","101013385882.02","77421425304.01","129215000000.00","3","19","19","210","D","C","2","2.3","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568559","Department of Commerce","940018792.91","7101611267.02","6617579447.77","12245000000.00","3","20","20","220","D","C","2","2.4","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568561","Department of Defense--Military Programs","50862300772.28","296785381093.24","290323081189.38","729329000000.00","3","21","21","230","D","C","2","2.5","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568563","Department of Education","9100598325.70","40147606005.81","36785432263.24","78962000000.00","3","22","22","250","D","C","2","2.6","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568565","Department of Energy","2511537897.55","13998897825.26","13151860326.91","35484000000.00","3","23","23","260","D","C","2","2.7","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568567","Department of Health and Human Services","115320515627.92","591591939287.42","545735771904.53","1371719000000.00","3","24","24","275","D","C","2","2.8","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568569","Department of Homeland Security","5830347334.99","39417140931.00","24248393338.24","60330000000.00","3","25","25","280","D","C","2","2.9","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568571","Department of Housing and Urban Development","4335985542.18","19367876922.78","19110240987.30","52394000000.00","3","26","26","290","D","C","2","2.10","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568573","Department of the Interior","1008597424.19","5958937874.18","5729222673.27","16153000000.00","3","27","27","300","D","C","2","2.11","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568575","Department of Justice","3060712771.23","15760227060.59","12972730857.86","41133000000.00","3","28","28","310","D","C","2","2.12","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568577","Department of Labor","44990430464.93","160936131725.88","13372838957.62","38267000000.00","3","29","29","320","D","C","2","2.13","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568579","Department of State","1325823768.59","12049249663.17","12985549843.12","26454000000.00","3","30","30","330","D","C","2","2.14","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568581","Department of Transportation","8979284330.72","40631740530.54","32944939216.74","88706000000.00","3","31","31","340","D","C","2","2.15","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568583","Department of the Treasury:","null","null","null","null","3","32","32","350","S","C","2","2.16","2021","2","2021","1","02","28"
"2021-02-28","45568583","45568585","Interest on Treasury Debt Securities (Gross)","32282366545.36","191992642505.42","228981513752.91","575782000000.00","3","33","33","360","D","P","3","2.16.1","2021","2","2021","1","02","28"
"2021-02-28","45568583","45568587","Other","47649963696.73","258547338711.64","91546573803.15","114876000000.00","3","34","34","370","D","P","3","2.16.2","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568589","Department of Veterans Affairs","18694183795.63","94971435957.85","97541712931.23","235288000000.00","3","35","35","375","D","C","2","2.17","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568591","Corps of Engineers","610279515.65","3752625456.76","3572824165.02","5590000000.00","3","36","36","377","D","C","2","2.18","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568593","Other Defense Civil Programs","4687633351.13","29037494213.51","32052213973.62","65316000000.00","3","37","37","378","D","C","2","2.19","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568595","Environmental Protection Agency","600911644.02","3382215889.32","3970477114.10","7533000000.00","3","38","38","380","D","C","2","2.20","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568597","Executive Office of the President","34994660.32","178729977.90","163676839.75","430000000.00","3","39","39","385","D","C","2","2.21","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568599","General Services Administration","-285562074.66","-541584240.46","347573767.04","107484000000.00","3","40","40","390","D","C","2","2.22","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568601","International Assistance Programs","5918685837.98","9880458580.59","7001983811.63","34717000000.00","3","41","41","395","D","C","2","2.23","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568603","National Aeronautics and Space Administration","1605712874.96","9174873723.86","8660436644.73","23846000000.00","3","42","42","400","D","C","2","2.24","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568605","National Science Foundation","559117080.29","2738454352.22","2936101009.74","8003000000.00","3","43","43","405","D","C","2","2.25","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568607","Office of Personnel Management","8119484135.54","43888846634.12","44665922129.98","0.00","3","44","44","410","D","C","2","2.26","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568609","Small Business Administration","90967647580.35","97135158585.79","453279650.05","871000000.00","3","45","45","420","D","C","2","2.27","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568611","Social Security Administration","98942175606.24","490258700997.64","476257248270.47","1214807000000.00","3","46","46","423","D","C","2","2.28","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568614","Independent Agencies","2687127250.37","9580911863.91","11701975811.50","26451000000.00","3","47","47","440","D","C","2","2.29","2021","2","2021","1","02","28"
"2021-02-28","45568614","45568618","Alyce Spotted Bear and Walter Soboleff Commission on Native Children","293000.00","293000.00","null","null","3","48","48","14548","D","A","3","2.29.1","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568628","Allowances","null","null","null","-7136000000.00","3","49","49","450","D","SL","2","2.30","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568633","Undistributed Offsetting Receipts:","null","null","null","null","3","50","50","460","S","SL","2","2.31","2021","2","2021","1","02","28"
"2021-02-28","45568633","45568638","Interest","-5196402954.35","-49608349171.15","-63507849849.72","-140551000000.00","3","51","51","470","D","UORG","3","2.31.1","2021","2","2021","1","02","28"
"2021-02-28","45568633","45568640","Other","-12207468494.21","-61808194541.95","-52255556792.04","-139127000000.00","3","52","52","480","D","UORG","3","2.31.2","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568644","Total Outlays","559235999280.85","2482987958241.34","1991215125071.01","4829359000000.00","3","53","53","490","T","SLB","2","2.32","2021","2","2021","1","02","28"
"2021-02-28","45568644","45568649","(On-Budget)","466710490919.53","2080109094326.99","1609657990512.13","3811118000000.00","3","54","54","500","T","SLB","3","2.32.1","2021","2","2021","1","02","28"
"2021-02-28","45568644","45568654","(Off-Budget)","92525508361.32","402878863914.35","381557134558.88","1018241000000.00","3","55","55","510","T","SLB","3","2.32.2","2021","2","2021","1","02","28"
"2021-02-28","45568550","45568658","Surplus (+) or Deficit (-)","-310921942504.67","-1046653517111.68","-624464872549.19","-966066000000.00","3","56","56","520","T","SLB","2","2.33","2021","2","2021","1","02","28"
"2021-02-28","45568658","45568661","(On-Budget)","-292858434143.35","-1033956686773.21","-619562534418.22","-958861000000.00","3","57","57","530","T","SLB","3","2.33.1","2021","2","2021","1","02","28"
"2021-02-28","45568658","45568664","(Off-Budget)","-18063508361.32","-12696830338.47","-4902338130.97","-7205000000.00","3","58","58","540","T","SLB","3","2.33.2","2021","2","2021","1","02","28"
"2021-01-31","null","45189834","Budget Receipts","null","null","null","null","3","1","1","10","S","SLB","1","1","2021","2","2021","1","01","31"
"2021-01-31","45189834","45189837","Individual Income Taxes","231568684407.65","578572142183.10","601518167343.58","1931678000000.00","3","2","2","20","D","RSG","2","1.1","2021","2","2021","1","01","31"
"2021-01-31","45189834","45189841","Corporation Income Taxes","16463234507.28","85343562573.96","75905412512.96","284093000000.00","3","3","3","30","D","RSG","2","1.2","2021","2","2021","1","01","31"
"2021-01-31","45189834","45189843","Social Insurance and Retirement Receipts:","null","null","null","null","3","4","4","40","S","RSG","2","1.3","2021","2","2021","1","01","31"
"2021-01-31","45189843","45189847","Employment and General Retirement (Off-Budget)","89338000000.00","315720033575.88","300839796427.91","1011036000000.00","3","5","5","50","D","SL","3","1.3.1","2021","2","2021","1","01","31"
"2021-01-31","45189843","45189852","Employment and General Retirement (On-Budget)","26231935301.37","105938751631.69","99488422594.83","313944000000.00","3","6","6","60","D","SL","3","1.3.2","2021","2","2021","1","01","31"
"2021-01-31","45189843","45189858","Unemployment Insurance","2171898169.27","11538915176.11","8619850633.85","43033000000.00","3","7","7","70","D","RSG","3","1.3.3","2021","2","2021","1","01","31"
"2021-01-31","45189843","45189864","Other Retirement","428923639.67","1893546899.82","1745544636.39","5581000000.00","3","8","8","80","D","RSG","3","1.3.4","2021","2","2021","1","01","31"
"2021-01-31","45189834","45189870","Excise Taxes","3478562413.75","19161004519.65","26874790517.20","87206000000.00","3","9","9","90","D","RSG","2","1.4","2021","2","2021","1","01","31"
"2021-01-31","45189834","45189876","Estate and Gift Taxes","1679754365.92","7879174728.97","6987666712.48","21641000000.00","3","10","10","100","D","RSG","2","1.5","2021","2","2021","1","01","31"
"2021-01-31","45189834","45189881","Customs Duties","5870767385.11","24039104095.11","28064260695.01","53811000000.00","3","11","11","110","D","RSG","2","1.6","2021","2","2021","1","01","31"
"2021-01-31","45189834","45189887","Miscellaneous Receipts","7419018768.10","37934333965.94","28755800797.56","111270000000.00","3","12","12","120","D","RSG","2","1.7","2021","2","2021","1","01","31"
"2021-01-31","45189834","45189894","Total Receipts","384650778958.12","1188020569350.23","1178799712871.77","3863293000000.00","3","13","13","130","T","SLB","2","1.8","2021","2","2021","1","01","31"
"2021-01-31","45189894","45189898","(On-Budget)","295312778958.12","872300535774.35","877959916443.86","2852257000000.00","3","14","14","140","T","SLB","3","1.8.1","2021","2","2021","1","01","31"
"2021-01-31","45189894","45189901","(Off-Budget)","89338000000.00","315720033575.88","300839796427.91","1011036000000.00","3","15","15","150","T","SLB","3","1.8.2","2021","2","2021","1","01","31"
"2021-01-31","null","45189904","Budget Outlays","null","null","null","null","3","16","16","160","S","SLB","1","2","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189907","Legislative Branch","448836452.86","1837131468.44","1853675258.56","5795000000.00","3","17","17","170","D","C","2","2.1","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189909","Judicial Branch","639193972.38","2789409344.16","2855523258.19","8993000000.00","3","18","18","180","D","C","2","2.2","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189912","Department of Agriculture","14684579464.64","86753921568.57","63950087330.96","129215000000.00","3","19","19","210","D","C","2","2.3","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189914","Department of Commerce","984786766.19","6161592474.11","5624983360.29","12245000000.00","3","20","20","220","D","C","2","2.4","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189918","Department of Defense--Military Programs","50864394798.71","245923080320.96","237701509387.45","729329000000.00","3","21","21","230","D","C","2","2.5","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189920","Department of Education","9565907170.30","31047007680.11","27490050503.89","78962000000.00","3","22","22","250","D","C","2","2.6","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189924","Department of Energy","2540040039.62","11487359927.71","10804344329.59","35484000000.00","3","23","23","260","D","C","2","2.7","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189926","Department of Health and Human Services","119632262188.59","476271423659.50","443758527115.06","1371719000000.00","3","24","24","275","D","C","2","2.8","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189930","Department of Homeland Security","5945486135.53","33587060262.76","19949810944.84","60330000000.00","3","25","25","280","D","C","2","2.9","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189932","Department of Housing and Urban Development","3373442798.25","15031891380.60","15356945540.70","52394000000.00","3","26","26","290","D","C","2","2.10","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189936","Department of the Interior","1182427969.27","4950340449.99","4873554682.81","16153000000.00","3","27","27","300","D","C","2","2.11","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189938","Department of Justice","3659831091.50","12699514289.36","12608353466.20","41133000000.00","3","28","28","310","D","C","2","2.12","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189942","Department of Labor","36313789287.38","115945701260.95","10018011825.88","38267000000.00","3","29","29","320","D","C","2","2.13","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189944","Department of State","2082218426.98","10723425894.58","10772854804.32","26454000000.00","3","30","30","330","D","C","2","2.14","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189948","Department of Transportation","6039364237.69","31652456199.82","25939138669.40","88706000000.00","3","31","31","340","D","C","2","2.15","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189950","Department of the Treasury:","null","null","null","null","3","32","32","350","S","C","2","2.16","2021","2","2021","1","01","31"
"2021-01-31","45189950","45189954","Interest on Treasury Debt Securities (Gross)","27265863758.68","159710275960.06","194090515195.78","575782000000.00","3","33","33","360","D","P","3","2.16.1","2021","2","2021","1","01","31"
"2021-01-31","45189950","45189956","Other","175802111281.39","210897375014.91","31486329639.18","114876000000.00","3","34","34","370","D","P","3","2.16.2","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189960","Department of Veterans Affairs","9457185447.70","76277252162.22","79743740486.77","235288000000.00","3","35","35","375","D","C","2","2.17","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189962","Corps of Engineers","588763203.14","3142345941.11","2909918833.28","5590000000.00","3","36","36","377","D","C","2","2.18","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189966","Other Defense Civil Programs","1576956404.33","24349779192.38","27026284183.13","65316000000.00","3","37","37","378","D","C","2","2.19","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189968","Environmental Protection Agency","595775924.90","2781304245.30","3263192982.05","7533000000.00","3","38","38","380","D","C","2","2.20","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189972","Executive Office of the President","33169632.84","143735317.58","131441602.24","430000000.00","3","39","39","385","D","C","2","2.21","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189974","General Services Administration","-410926541.62","-256022165.80","-52307209.05","107484000000.00","3","40","40","390","D","C","2","2.22","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189978","International Assistance Programs","-1112297623.83","3961772742.61","5559926141.51","34717000000.00","3","41","41","395","D","C","2","2.23","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189980","National Aeronautics and Space Administration","1355237732.78","7569160848.90","7171498399.62","23846000000.00","3","42","42","400","D","C","2","2.24","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189984","National Science Foundation","497355172.80","2179337271.93","2400747234.02","8003000000.00","3","43","43","405","D","C","2","2.25","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189986","Office of Personnel Management","9270542277.09","35769362498.58","35603514560.51","0.00","3","44","44","410","D","C","2","2.26","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189990","Small Business Administration","2426097954.56","6167511005.44","351538307.20","871000000.00","3","45","45","420","D","C","2","2.27","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189992","Social Security Administration","69568925109.33","391316525391.40","380622787434.50","1214807000000.00","3","46","46","423","D","C","2","2.28","2021","2","2021","1","01","31"
"2021-01-31","45189904","45189996","Independent Agencies","1420147824.48","6893784613.54","9298691307.79","26451000000.00","3","47","47","440","D","C","2","2.29","2021","2","2021","1","01","31"
"2021-01-31","45189904","45190004","Allowances","null","null","null","-7136000000.00","3","48","48","450","D","SL","2","2.30","2021","2","2021","1","01","31"
"2021-01-31","45189904","45190007","Undistributed Offsetting Receipts:","null","null","null","null","3","49","49","460","S","SL","2","2.31","2021","2","2021","1","01","31"
"2021-01-31","45190007","45190010","Interest","-1299810606.74","-44411946216.80","-59778908846.17","-140551000000.00","3","50","50","470","D","UORG","3","2.31.1","2021","2","2021","1","01","31"
"2021-01-31","45190007","45190014","Other","-7508389326.06","-49600726047.74","-45400060882.98","-139127000000.00","3","51","51","480","D","UORG","3","2.31.2","2021","2","2021","1","01","31"
"2021-01-31","45189904","45190016","Total Outlays","547483268425.66","1923752143957.24","1567986219847.52","4829359000000.00","3","52","52","490","T","SLB","2","2.32","2021","2","2021","1","01","31"
"2021-01-31","45190016","45190019","(On-Budget)","487183856149.99","1613398788404.21","1275367622899.99","3811118000000.00","3","53","53","500","T","SLB","3","2.32.1","2021","2","2021","1","01","31"
"2021-01-31","45190016","45190023","(Off-Budget)","60299412275.67","310353355553.03","292618596947.53","1018241000000.00","3","54","54","510","T","SLB","3","2.32.2","2021","2","2021","1","01","31"
"2021-01-31","45189904","45190028","Surplus (+) or Deficit (-)","-162832489467.54","-735731574607.01","-389186506975.75","-966066000000.00","3","55","55","520","T","SLB","2","2.33","2021","2","2021","1","01","31"
"2021-01-31","45190028","45190033","(On-Budget)","-191871077191.87","-741098252629.86","-397407706456.13","-958861000000.00","3","56","56","530","T","SLB","3","2.33.1","2021","2","2021","1","01","31"
"2021-01-31","45190028","45190038","(Off-Budget)","29038587724.33","5366678022.85","8221199480.38","-7205000000.00","3","57","57","540","T","SLB","3","2.33.2","2021","2","2021","1","01","31"
"2020-12-31","null","44802286","Budget Receipts","null","null","null","null","3","1","1","10","S","SLB","1","1","2021","1","2020","4","12","31"
"2020-12-31","44802286","44802290","Individual Income Taxes","144480589277.61","347003457775.45","384858463133.20","1931678000000.00","3","2","2","20","D","RSG","2","1.1","2021","1","2020","4","12","31"
"2020-12-31","44802286","44802292","Corporation Income Taxes","62920419835.68","68880328066.68","65413765786.04","284093000000.00","3","3","3","30","D","RSG","2","1.2","2021","1","2020","4","12","31"
"2020-12-31","44802286","44802296","Social Insurance and Retirement Receipts:","null","null","null","null","3","4","4","40","S","RSG","2","1.3","2021","1","2020","4","12","31"
"2020-12-31","44802296","44802298","Employment and General Retirement (Off-Budget)","81640033575.88","226382033575.88","210097796427.91","1011036000000.00","3","5","5","50","D","SL","3","1.3.1","2021","1","2020","4","12","31"
"2020-12-31","44802296","44802301","Employment and General Retirement (On-Budget)","29548646447.20","79706816330.32","72626091122.79","313944000000.00","3","6","6","60","D","SL","3","1.3.2","2021","1","2020","4","12","31"
"2020-12-31","44802296","44802304","Unemployment Insurance","3665664495.78","9367017006.84","5601156271.73","43033000000.00","3","7","7","70","D","RSG","3","1.3.3","2021","1","2020","4","12","31"
"2020-12-31","44802296","44802308","Other Retirement","476794431.19","1464623260.15","1323397834.00","5581000000.00","3","8","8","80","D","RSG","3","1.3.4","2021","1","2020","4","12","31"
"2020-12-31","44802286","44802310","Excise Taxes","5333498828.80","15682442105.90","20567239727.92","87206000000.00","3","9","9","90","D","RSG","2","1.4","2021","1","2020","4","12","31"
"2020-12-31","44802286","44802314","Estate and Gift Taxes","2212324960.09","6199420363.05","4627073162.26","21641000000.00","3","10","10","100","D","RSG","2","1.5","2021","1","2020","4","12","31"
"2020-12-31","44802286","44802316","Customs Duties","6047110081.33","18168336710.00","21146628883.26","53811000000.00","3","11","11","110","D","RSG","2","1.6","2021","1","2020","4","12","31"
"2020-12-31","44802286","44802320","Miscellaneous Receipts","9794146463.35","30515315197.84","20250186753.96","111270000000.00","3","12","12","120","D","RSG","2","1.7","2021","1","2020","4","12","31"
"2020-12-31","44802286","44802325","Total Receipts","346119228396.91","803369790392.11","806511799103.07","3863293000000.00","3","13","13","130","T","SLB","2","1.8","2021","1","2020","4","12","31"
"2020-12-31","44802325","44802328","(On-Budget)","264479194821.03","576987756816.23","596414002675.16","2852257000000.00","3","14","14","140","T","SLB","3","1.8.1","2021","1","2020","4","12","31"
"2020-12-31","44802325","44802332","(Off-Budget)","81640033575.88","226382033575.88","210097796427.91","1011036000000.00","3","15","15","150","T","SLB","3","1.8.2","2021","1","2020","4","12","31"
"2020-12-31","null","44802337","Budget Outlays","null","null","null","null","3","16","16","160","S","SLB","1","2","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802342","Legislative Branch","415526286.80","1388295015.58","1393672166.77","5795000000.00","3","17","17","170","D","C","2","2.1","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802344","Judicial Branch","655941213.10","2150215371.78","2166478164.41","8993000000.00","3","18","18","180","D","C","2","2.2","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802348","Department of Agriculture","20972501259.34","72069342103.93","52725172468.83","129215000000.00","3","19","19","210","D","C","2","2.3","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802350","Department of Commerce","2494904597.14","5176805707.92","4612870625.80","12245000000.00","3","20","20","220","D","C","2","2.4","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802354","Department of Defense--Military Programs","66999759139.58","195058685522.25","187347552591.83","729329000000.00","3","21","21","230","D","C","2","2.5","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802356","Department of Education","6696038802.30","21481100509.81","17651461535.27","78962000000.00","3","22","22","250","D","C","2","2.6","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802360","Department of Energy","3254542723.03","8947319888.09","7974239808.71","35484000000.00","3","23","23","260","D","C","2","2.7","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802362","Department of Health and Human Services","122881375453.29","356639161470.91","309340494813.57","1371719000000.00","3","24","24","275","D","C","2","2.8","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802366","Department of Homeland Security","6878665507.76","27641574127.23","15387082353.61","60330000000.00","3","25","25","280","D","C","2","2.9","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802368","Department of Housing and Urban Development","3817469768.21","11658448582.35","11690022731.36","52394000000.00","3","26","26","290","D","C","2","2.10","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802372","Department of the Interior","1654273740.68","3767912480.72","3618273260.05","16153000000.00","3","27","27","300","D","C","2","2.11","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802374","Department of Justice","3152133653.54","9039683197.86","8937264847.90","41133000000.00","3","28","28","310","D","C","2","2.12","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802378","Department of Labor","29950913767.81","79631911973.57","5135844937.11","38267000000.00","3","29","29","320","D","C","2","2.13","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802380","Department of State","2726587770.22","8641207467.60","8361593626.40","26454000000.00","3","30","30","330","D","C","2","2.14","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802384","Department of Transportation","9895501860.17","25613091962.13","20495863626.38","88706000000.00","3","31","31","340","D","C","2","2.15","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802386","Department of the Treasury:","null","null","null","null","3","32","32","350","S","C","2","2.16","2021","1","2020","4","12","31"
"2020-12-31","44802386","44802390","Interest on Treasury Debt Securities (Gross)","79625002154.42","132444412201.38","160187094951.04","575782000000.00","3","33","33","360","D","P","3","2.16.1","2021","1","2020","4","12","31"
"2020-12-31","44802386","44802392","Other","8219632880.48","35095263733.52","25111137540.60","114876000000.00","3","34","34","370","D","P","3","2.16.2","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802397","Department of Veterans Affairs","28048646408.14","66820066714.52","61761163640.87","235288000000.00","3","35","35","375","D","C","2","2.17","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802399","Corps of Engineers","1089477332.84","2553582737.97","2179138644.38","5590000000.00","3","36","36","377","D","C","2","2.18","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802405","Other Defense Civil Programs","10623008021.89","22772822788.05","20834813275.73","65316000000.00","3","37","37","378","D","C","2","2.19","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802407","Environmental Protection Agency","686316520.94","2185528320.40","2436766376.12","7533000000.00","3","38","38","380","D","C","2","2.20","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802413","Executive Office of the President","33157829.96","110565684.74","99412229.80","430000000.00","3","39","39","385","D","C","2","2.21","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802415","General Services Administration","333631004.55","154904375.82","-25640408.78","107484000000.00","3","40","40","390","D","C","2","2.22","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802421","International Assistance Programs","1213018629.06","5074070366.44","3071170306.46","34717000000.00","3","41","41","395","D","C","2","2.23","2021","1","2020","4","12","31"
"2020-12-31","44802337","44802423","National Aeronautics and Space Administration","2402597490.77","6213923116.12","5853979221.06","23846000000.00","3","42","42","400","D","C","2","2.24","2021","1","2020","4","12","31"
