dataset,data_table_name,field_name,display_name,description,data_type,is_required
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,current_month_net_outly_amt,Current Month Net Outlays Amount,"The total amount of expenditures by the United States Government after offsetting amounts, for the month.",CURRENCY,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,current_fytd_gross_outly_amt,Current Fiscal Year to Date Gross Outlays Amount,The fiscal year to date amount of expenditures by the United States Government without regard to offsetting amounts.,CURRENCY,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,current_fytd_app_rcpt_amt,Current Fiscal Year to Date App Receipts Amount,The fiscal year to date transactions that offset outlays for a given federal agency or program. App stands for applicable.,CURRENCY,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,current_fytd_net_outly_amt,Current Fiscal Year to Date Net Outlays Amount,The fiscal year to date amount of expenditures by the United States Government after offsetting amounts.,CURRENCY,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,prior_fytd_gross_outly_amt,Prior Fiscal Year to Date Gross Outlays Amount,The prior fiscal year to date amount of expenditures by the United States Government without regard to offsetting amounts.,CURRENCY,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,prior_fytd_app_rcpt_amt,Prior Fiscal Year to Date App Receipts Amount,The prior fiscal year to date transactions that offset outlays for a given federal agency or program. App stands for applicable.,CURRENCY,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,prior_fytd_net_outly_amt,Prior Fiscal Year to Date Net Outlays Amount,The prior fiscal year to date amount of expenditures by the United States Government after offsetting amounts.,CURRENCY,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,table_nbr,Table Number,The corresponding table number in the Monthly Treasury Statement.,STRING,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,src_line_nbr,Source Line Number,Indicates the row of the corresponding table on the Monthly Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Monthly Treasury Statement and in understanding potential hierarchies within the table.,NUMBER,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,print_order_nbr,Print Order Sequence Number,A sequence for recreating the table structure as seen on the Monthly Treasury Statement.,STRING,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,line_code_nbr,Line Code Number,"Similar to print_order_nbr, line_code_nbr is a sequence for recreating the table structure as seen on the Monthly Treasury Statement.",STRING,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,data_type_cd,Data Type Code,"Identifier for the specificity of the underlying data point. D = Detail Record, S = Sub-header, T = Total.",STRING,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,record_type_cd,Record Type Code,"Identifier for the type of data point recorded. A = Agency, B = Bureau, BG = Bureau Group, C = Chapter, P = Program, SL = Special Line, UOR = Undistributed Offsetting Receipts, UORG = Undistributed Offsetting Receipts Group.",STRING,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,sequence_level_nbr,Sequence Level Number,Sequence_level_nbr is an identifier used to represent hierarchies within data.,STRING,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,sequence_number_cd,Sequence Number Code,"A more detailed identifier used to represent hierarchies within data.  Similar to print_order_nbr, sequence_number_cd can be used to structure the data in a similar format to the Monthly Treasury Statement.",STRING,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,record_fiscal_year,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,YEAR,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,record_fiscal_quarter,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",QUARTER,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,record_calendar_year,Calendar Year,The calendar year associated with record_date.,YEAR,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,record_calendar_quarter,Calendar Quarter Number,The calendar quarter associated with record_date.,QUARTER,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,record_calendar_month,Calendar Month Number,The calendar month associated with record_date.,MONTH,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,record_calendar_day,Calendar Day Number,The calendar day associated with record_date.,DAY,0
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,record_date,Record Date,The date that data was published.,DATE,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,parent_id,Parent ID,Identifies which record the classification_id belongs to in the hierarchy.,STRING,0
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,classification_id,Classification ID,Unique identifier for a particular data point. This ID changes each time the MTS is published. The value is never repeated or reused.,STRING,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,classification_desc,Classification Description,A more detailed description for the recorded data point.,STRING,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,current_month_net_txn_amt,Current Month Net Transaction Amount,The total amount of transactional activity for the month for an account.,CURRENCY,0
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,fytd_net_txn_amt,Fiscal Year to Date Net Transaction Amount,The total amount of transactional activity for the fiscal year for an account.,CURRENCY,0
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,prior_fytd_net_txn_amt,Prior Fiscal Year to Date Net Transaction Amount,The total amount of transactional activity for the prior fiscal year for an account.,CURRENCY,0
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,begin_year_acct_bal_amt,Beginning Year Account Balance Amount,The opening balance for an account for the fiscal year.,CURRENCY,0
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,begin_month_acct_bal_amt,Beginning Month Account Balance Amount,The opening balance for an account for the current month.,CURRENCY,0
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,close_month_acct_bal_amt,Closing Month Account Balance Amount,The closing balance for an account for the current month.,CURRENCY,0
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,table_nbr,Table Number,The corresponding table number in the Monthly Treasury Statement.,STRING,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,src_line_nbr,Source Line Number,Indicates the row of the corresponding table on the Monthly Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Monthly Treasury Statement and in understanding potential hierarchies within the table.,NUMBER,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,print_order_nbr,Print Order Sequence Number,A sequence for recreating the table structure as seen on the Monthly Treasury Statement.,STRING,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,line_code_nbr,Line Code Number,"Similar to print_order_nbr, line_code_nbr is a sequence for recreating the table structure as seen on the Monthly Treasury Statement.",STRING,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,data_type_cd,Data Type Code,"Identifier for the specificity of the underlying data point. D = Detail Record, S = Sub-header, T = Total.",STRING,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,record_type_cd,Record Type Code,Identifier for the type of data point recorded. GL = General Ledger.,STRING,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,sequence_level_nbr,Sequence Level Number,Sequence_level_nbr is an identifier used to represent hierarchies within data.,STRING,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,sequence_number_cd,Sequence Number Code,"A more detailed identifier used to represent hierarchies within data.  Similar to print_order_nbr, sequence_number_cd can be used to structure the data in a similar format to the Monthly Treasury Statement.",STRING,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,record_fiscal_year,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,YEAR,1
Monthly Treasury Statement (MTS),Means of Financing the Deficit or Disposition of Surplus by the U.S. Government,record_fiscal_quarter,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",QUARTER,1
