index,Index,Label,unit,start,last,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU481112481112SM             ,PCU481112481112SM             ,"PPI industry data for Scheduled freight air transportation-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2014-M13,,,,,,,,,,,,,,,,,,,,,119.3,111.1,121.7,135.6,139.7,140.9,144.1,,,,,,,
PCU4812--4812--               ,PCU4812--4812--               ,"PPI industry group data for Nonscheduled air transportation, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M04,,,,,,,,,,97.8,99.2,102.2,107.3,112.7,114.7,117.8,119.9,126.7,136.8,148.5,165.8,160.4,165.4,168.1,169.5,167.6,166.8,168.1,165.8,168.5,170.7,174.7,175.6,180.29
PCU48121-48121-               ,PCU48121-48121-               ,"PPI industry data for Nonscheduled air transportation, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M04,,,,,,,,,,97.8,99.2,102.2,107.3,112.7,114.7,117.8,119.9,126.7,136.8,148.5,165.8,160.4,165.4,168.1,169.5,167.6,166.8,168.1,165.8,168.5,170.7,174.7,175.6,180.29
PCU481211481211               ,PCU481211481211               ,"PPI industry data for Nonscheduled air passenger chartering, not seasonally adjusted",Index base: 1992.06 = 100,1992-M06,2022-M04,,,,,,101.8,102.6,103.6,105.0,104.5,106.0,109.2,114.7,120.3,122.4,125.7,127.9,135.3,146.0,158.5,177.2,173.2,176.2,178.9,179.7,178.5,177.2,177.3,173.2,176.2,176.6,182.0,182.9,186.685
PCU4812114812111              ,PCU4812114812111              ,"PPI industry data for Nonscheduled air passenger chartering-Domestic nonscheduled air passenger services, not seasonally adjusted",Index base: 2008.06 = 100,2008-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,97.0,98.7,100.7,101.3,100.4,99.5,99.2,96.9,98.9,98.6,102.5,102.9,106.077
PCU4812114812112              ,PCU4812114812112              ,"PPI industry data for Nonscheduled air passenger chartering-International nonscheduled air passenger services, not seasonally adjusted",Index base: 2008.06 = 100,2008-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,102.0,105.3,107.3,105.9,108.5,107.4,105.7,102.2,102.6,102.9,104.5,106.0,104.225
PCU481211481211P              ,PCU481211481211P              ,"PPI industry data for Nonscheduled air passenger chartering-Primary services, not seasonally adjusted",Index base: 2000.12 = 100,2000-M12,2022-M04,,,,,,,,,,,,,,102.0,103.1,106.0,106.8,111.0,119.0,128.6,140.0,137.0,140.0,142.7,143.4,142.9,141.5,140.8,137.4,139.8,139.6,144.4,145.3,148.39
PCU481211481211SM             ,PCU481211481211SM             ,"PPI industry data for Nonscheduled air passenger chartering-Other receipts, not seasonally adjusted",Index base: 1992.06 = 100,1992-M06,2018-M09,,,,,,100.9,102.5,100.5,100.9,102.9,102.6,104.7,115.3,116.8,120.6,123.9,135.4,165.8,189.1,216.1,273.9,269.8,270.8,271.6,,261.1,265.3,280.1,,280.7,,,,
PCU481212481212               ,PCU481212481212               ,"PPI industry data for Nonscheduled air freight chartering, not seasonally adjusted",Index base: 2008.06 = 100,2008-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,90.1,98.9,100.9,104.8,101.0,102.2,106.4,112.6,113.8,119.8,120.7,121.2,126.264
PCU4812124812121              ,PCU4812124812121              ,"PPI industry data for Nonscheduled air freight chartering-Domestic nonscheduled air freight services, not seasonally adjusted",Index base: 2008.06 = 100,2008-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,93.1,104.4,104.2,107.0,102.7,105.6,112.5,118.7,122.7,138.8,139.0,141.2,153.887
PCU4812124812122              ,PCU4812124812122              ,"PPI industry data for Nonscheduled air freight chartering-International nonscheduled air freight services, not seasonally adjusted",Index base: 2008.06 = 100,2008-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,82.2,87.3,93.3,99.5,95.3,92.4,90.8,89.6,84.9,87.4,87.7,88.5,91.338
PCU481212481212P              ,PCU481212481212P              ,"PPI industry data for Nonscheduled air freight chartering-Primary services, not seasonally adjusted",Index base: 2008.06 = 100,2008-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,89.6,98.8,100.6,104.5,100.3,101.2,105.4,109.2,110.4,117.6,117.9,119.1,124.083
PCU481212481212SM             ,PCU481212481212SM             ,"PPI industry data for Nonscheduled air freight chartering-Other receipts, not seasonally adjusted",Index base: 2008.06 = 100,2008-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,101.9,101.4,107.2,118.0,,118.5,123.3,,144.0,147.3,157.8,147.7,152.491
