index,Index,Label,unit,start,last,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CUUR0000SERAC    ,CUUR0000SERAC    ,"Video and audio products in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.375,86.135,78.086,72.383,67.119,61.302,54.365,49.534,43.467,39.35,36.88,37.186
CUUR0000SERAS    ,CUUR0000SERAS    ,"Video and audio services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.949,102.851,107.163,109.664,111.7,113.339,117.274,123.037,125.265,127.666,132.279,136.997
CUUR0000SERB     ,CUUR0000SERB     ,"Pets, pet products and services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,103.4,106.1,109.7,113.2,115.7,120.1,123.6,128.4,133.841,144.472,153.416,154.362,158.739,162.374,164.576,165.697,167.307,169.631,170.286,172.416,178.021,180.143,184.921
CUUR0000SERB01   ,CUUR0000SERB01   ,"Pets and pet products in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,74.7,83.3,91.9,96.8,100.0,103.3,106.4,108.7,111.0,114.5,120.7,124.6,129.1,128.1,128.8,130.9,132.3,139.0,142.7,143.5,144.5,144.3,146.7,149.7,150.3,154.5,155.8,161.7,166.578,181.882,194.891,192.855,195.934,199.536,200.906,199.313,198.205,198.36,197.045,197.834,203.688,202.47,204.504
CUUR0000SERB02   ,CUUR0000SERB02   ,"Pet services including veterinary in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,106.6,114.6,121.8,128.2,134.9,142.3,150.3,156.5,165.707,175.953,184.38,190.755,200.257,206.369,211.497,218.223,225.864,233.776,238.598,244.724,253.718,262.36,274.281
CUUR0000SERC     ,CUUR0000SERC     ,"Sporting goods in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1,81.0,88.5,94.4,98.2,99.4,102.4,104.6,104.0,104.3,108.1,111.1,114.9,118.5,120.2,120.1,122.2,123.5,123.4,122.6,121.9,120.3,119.0,118.5,116.4,115.3,115.0,115.5,117.1,116.426,118.409,119.856,118.785,118.463,118.737,118.081,116.462,114.573,113.093,110.967,111.005,112.293,113.656,121.242
CUUR0000SERC01   ,CUUR0000SERC01   ,"Sports vehicles including bicycles in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1978-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6,79.8,87.9,93.8,98.0,99.1,103.0,106.3,105.6,105.5,108.9,112.3,115.3,117.5,119.7,120.6,122.3,125.3,125.7,124.5,125.3,128.7,130.9,132.8,131.8,130.3,130.8,133.2,138.0,137.923,139.401,140.082,141.313,146.466,148.385,150.023,149.555,149.499,147.15,145.34,148.435,153.676,157.358,168.278
CUUR0000SERC02   ,CUUR0000SERC02   ,"Sports equipment in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1978-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.8,84.6,90.3,95.9,98.9,100.4,100.7,99.6,99.0,100.8,104.9,107.4,111.8,116.5,117.7,116.9,119.2,119.1,118.6,118.0,116.3,111.1,107.0,104.7,102.0,101.2,100.0,98.9,97.6,96.179,98.434,100.541,97.557,92.937,91.855,89.576,87.46,84.882,83.773,81.563,79.417,77.786,77.37,82.156
CUUR0000SERD     ,CUUR0000SERD     ,"Photography in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.4,99.2,99.0,97.9,96.0,92.9,90.4,87.1,82.59,80.834,81.004,79.553,79.542,79.12,77.257,77.374,75.226,75.233,75.969,74.194,73.535,75.534,77.239
CUUR0000SERD01   ,CUUR0000SERD01   ,"Photographic equipment and supplies in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,82.0,91.4,95.2,98.4,99.9,101.8,103.5,107.8,114.9,120.3,125.7,128.7,131.0,133.1,134.5,132.3,133.4,133.7,134.0,133.0,130.3,126.4,123.8,118.6,112.6,104.3,98.5,91.1,81.582,76.524,73.869,69.881,66.853,64.297,60.442,59.057,55.073,53.827,55.706,53.682,53.791,56.496,58.348
CUUR0000SERD02   ,CUUR0000SERD02   ,"Photographers and photo processing in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,101.0,102.6,103.6,105.0,105.6,105.8,105.3,105.3,105.476,107.149,110.794,111.878,115.257,117.365,118.545,121.124,122.498,125.134,123.961,122.353,120.045,121.708,123.688
CUUR0000SERE     ,CUUR0000SERE     ,"Other recreational goods in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1,92.3,87.8,84.6,80.5,76.1,73.3,69.5,67.2,64.335,62.118,60.216,57.792,55.929,54.012,51.894,49.418,46.969,43.942,40.628,37.445,35.236,33.476,33.549
CUUR0000SERE01   ,CUUR0000SERE01   ,"Toys in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.5,79.8,86.6,93.2,98.5,100.2,101.2,101.5,102.5,104.8,110.6,115.3,117.5,118.3,120.2,121.9,123.7,123.2,126.4,126.2,119.9,112.8,105.5,100.3,93.9,87.5,83.3,77.6,74.1,70.584,66.866,63.255,59.153,56.566,53.706,50.822,47.636,44.657,40.965,37.303,33.724,31.105,29.106,29.114
CUUR0000SERE02   ,CUUR0000SERE02   ,"Sewing machines, fabric and supplies in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,96.6,96.5,96.4,96.1,94.0,94.5,92.8,92.0,88.473,88.76,91.279,93.875,96.5,99.347,99.622,99.505,97.365,94.482,93.504,97.354,101.852,98.696,98.087
CUUR0000SERE03   ,CUUR0000SERE03   ,"Music instruments and accessories in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,99.3,99.2,100.2,100.0,99.2,97.9,97.8,97.7,95.144,96.326,97.333,97.497,95.416,95.648,97.894,98.614,99.09,101.234,101.678,100.559,101.534,104.937,106.547
CUUR0000SERF     ,CUUR0000SERF     ,"Other recreation services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,106.9,111.7,116.1,119.6,124.5,127.5,130.5,135.1,139.369,142.857,144.646,145.121,145.266,148.375,150.5,152.687,156.174,159.949,164.052,167.913,171.823,174.721,176.152
CUUR0000SERF01   ,CUUR0000SERF01   ,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,105.8,108.9,111.7,112.9,116.1,116.7,117.4,121.9,123.703,125.826,125.668,123.466,122.066,125.494,127.482,129.331,130.142,132.199,135.315,139.162,142.867,145.033,146.09
CUUR0000SERF02   ,CUUR0000SERF02   ,"Admissions in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2,79.1,83.8,88.0,93.4,100.0,106.7,112.8,117.9,124.4,131.1,141.4,151.2,159.3,164.5,167.3,175.2,182.3,192.1,198.9,205.5,216.5,230.5,242.4,251.4,263.2,272.9,282.3,291.9,303.788,312.328,317.769,322.81,324.997,332.126,336.22,341.936,354.121,365.831,374.784,381.581,389.227,396.579,395.572
CUUR0000SERF03   ,CUUR0000SERF03   ,"Fees for lessons or instructions in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,107.4,114.6,122.7,130.0,135.3,141.9,149.3,154.5,160.6,168.8,176.0,183.9,188.4,195.6,203.5,212.8,221.4,228.5,236.0,245.485,253.722,261.232,265.137,268.651,271.887,277.102,281.195,287.43,293.075,303.645,312.067,319.044,324.536,340.282
CUUR0000SERG     ,CUUR0000SERG     ,"Recreational reading materials in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.2,70.0,77.7,85.9,94.3,101.2,104.5,110.7,115.6,119.5,124.3,129.5,136.2,144.7,150.9,156.2,161.3,168.1,176.4,179.0,184.1,186.1,188.3,191.4,195.8,197.5,201.2,203.9,205.3,207.33,211.981,220.277,220.671,219.613,223.884,231.969,236.675,240.685,240.665,241.549,246.308,255.569,266.97,273.69
CUUR0000SERG01   ,CUUR0000SERG01   ,"Newspapers and magazines in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,104.5,106.4,108.5,110.5,112.7,116.0,119.0,120.9,122.15,125.428,133.451,135.01,136.512,143.604,153.235,159.965,164.197,166.26,170.986,176.269,187.952,198.269,206.533
CUUR0000SERG02   ,CUUR0000SERG02   ,"Recreational books in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,100.9,100.7,101.9,105.0,104.1,104.3,103.9,103.3,104.12,105.886,106.885,105.781,103.29,101.287,101.01,100.063,100.56,98.825,95.841,96.094,95.474,98.116,98.372
CUUR0000SS31022  ,CUUR0000SS31022  ,"Video discs and other media in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,89.9,85.5,84.1,80.6,79.0,78.0,74.0,69.3,64.542,61.962,57.61,54.156,52.627,49.618,46.939,42.797,41.107,40.278,38.072,37.862,38.084,33.942,32.559
CUUR0000SS61011  ,CUUR0000SS61011  ,"Toys, games, hobbies and playground equipment in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2,91.7,87.4,83.9,81.0,77.1,75.6,72.5,70.8,68.809,66.583,64.915,61.859,60.09,58.996,57.596,55.546,53.188,49.667,45.799,41.418,39.051,37.029,37.678
CUUR0000SS61021  ,CUUR0000SS61021  ,"Film and photographic supplies in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2016-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,98.8,97.1,96.5,94.3,91.4,88.5,88.4,85.9,85.77,86.968,88.671,89.644,91.319,99.505,,124.919,125.83,127.144,,,,,
CUUR0000SS61023  ,CUUR0000SS61023  ,"Photographic equipment in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.6,94.8,92.2,87.0,81.3,75.1,66.4,58.6,51.2,41.552,36.626,34.736,32.125,29.998,28.243,26.262,24.676,22.678,22.008,22.905,22.287,22.437,23.459,24.511
CUUR0000SS61031  ,CUUR0000SS61031  ,"Pet food in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,102.4,102.3,104.3,106.0,106.7,110.3,110.7,115.5,119.4,132.625,143.853,143.312,146.442,150.549,154.071,153.608,152.028,152.325,150.65,150.621,154.965,155.126,156.225
CUUR0000SS61032  ,CUUR0000SS61032  ,"Purchase of pets, pet supplies, accessories in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,100.2,100.5,101.1,103.4,103.9,104.4,107.7,110.0,112.393,115.829,119.564,117.565,117.625,117.303,114.829,113.606,113.66,113.737,113.275,114.405,117.645,115.644,117.157
CUUR0000SS62011  ,CUUR0000SS62011  ,"Automobile service clubs in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2020-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,102.6,104.2,107.7,110.5,111.4,113.8,114.3,116.4,119.076,119.62,120.319,120.414,122.144,124.616,125.796,125.235,126.046,123.635,,119.995,,120.612,
CUUR0000SS62031  ,CUUR0000SS62031  ,"Admission to movies, theaters, and concerts in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,107.4,114.3,118.5,122.3,128.6,132.7,137.0,141.8,147.392,150.755,153.062,155.417,156.944,160.063,161.765,164.749,168.412,174.514,178.997,182.673,185.993,189.007,194.549
CUUR0000SS62032  ,CUUR0000SS62032  ,"Admission to sporting events in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9,110.2,116.7,124.5,129.9,132.3,138.4,147.0,152.5,160.091,168.84,172.918,176.606,176.383,182.174,186.948,192.527,206.268,213.219,217.809,221.803,226.291,,222.1
CUUR0000SS62051  ,CUUR0000SS62051  ,"Photographer fees in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2020-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4,,103.8,106.5,110.8,113.1,112.9,112.9,114.0,115.64,117.585,119.008,120.174,122.698,124.682,125.607,127.982,128.091,129.709,127.457,128.595,123.27,124.263,
CUUR0000SS62052  ,CUUR0000SS62052  ,"Photo processing in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2020-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.9,100.6,100.0,100.4,100.7,100.3,99.5,99.3,98.882,100.43,105.562,107.391,111.308,113.352,114.409,117.798,120.771,123.303,121.105,112.29,113.12,112.971,
CUUR0000SS62053  ,CUUR0000SS62053  ,"Pet services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,104.8,108.9,112.6,115.7,120.3,124.9,131.0,136.1,142.361,150.475,156.334,157.729,163.755,168.254,171.871,176.823,181.112,184.787,186.744,191.304,196.112,200.777,210.525
CUUR0000SS62054  ,CUUR0000SS62054  ,"Veterinarian services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,106.8,114.9,122.7,129.6,136.5,144.7,153.4,160.1,170.356,181.355,191.211,198.359,208.21,214.238,219.859,227.624,236.187,244.808,250.203,256.594,267.213,277.093,288.769
CUUR0000SS62055  ,CUUR0000SS62055  ,"Rental of video discs and other media in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,95.3,93.9,92.1,92.0,87.0,86.1,86.7,90.1,92.37,97.465,100.662,101.332,110.348,118.491,116.822,116.574,120.582,123.679,126.528,130.24,134.609,136.471,139.177
CUURN000SAR      ,CUURN000SAR      ,"Recreation in Size Class B/C, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,101.4,102.6,103.9,104.7,105.3,106.7,107.1,108.4,108.753,110.48,112.428,112.738,113.13,114.224,115.24,115.77,115.963,117.129,119.108,119.71,121.444,123.137,126.125
CUURN000SARC     ,CUURN000SARC     ,"Recreation commodities in Size Class B/C, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.013,97.666,96.283,94.998,93.123,90.423,87.698,85.546,83.296,83.113,82.002,84.479
CUURN000SARS     ,CUURN000SARS     ,"Recreation services in Size Class B/C, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.614,103.289,106.052,108.583,110.786,113.065,116.74,121.173,123.735,126.661,130.466,133.169
CUURS000SAR      ,CUURS000SAR      ,"Recreation in Size Class A, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,102.1,103.7,105.4,107.1,109.0,109.9,110.8,112.6,113.09,114.858,115.074,113.081,112.996,114.383,114.582,114.61,115.096,115.97,117.29,117.839,119.085,120.608,123.467
CUURS000SARC     ,CUURS000SARC     ,"Recreation commodities in Size Class A, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.267,95.562,93.553,91.488,88.697,86.074,83.203,80.12,77.138,75.764,75.137,76.607
CUURS000SARS     ,CUURS000SARS     ,"Recreation services in Size Class A, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.95,102.494,105.753,107.375,109.151,111.41,114.348,118.029,120.568,123.145,125.68,128.889
