CATEGORIES,,,,,,
cat_idx,cat_code,cat_desc,cat_indent,,,
4,E_MPCT,Relative Standard Error for MPC Total Construction,PCT,,,
5,E_MPCV,Relative Standard Error for MPC Total Private Construction,PCT,,,
6,E_MPCP,Relative Standard Error for MPC Total Public Construction,PCT,,,
,,,,,,
,,,,,,
GEO LEVELS,,,,,,
geo_idx,geo_code,geo_desc,,,,
1,US,U.S. Total,,,,
,,,,,,
,,,,,,
TIME PERIODS,,,,,,
per_idx,per_name,,,,,
1,Jan-02,,,,,
2,Feb-02,,,,,
3,Mar-02,,,,,
4,Apr-02,,,,,
5,May-02,,,,,
6,Jun-02,,,,,
7,Jul-02,,,,,
8,Aug-02,,,,,
9,Sep-02,,,,,
10,Oct-02,,,,,
11,Nov-02,,,,,
12,Dec-02,,,,,
13,Jan-03,,,,,
14,Feb-03,,,,,
15,Mar-03,,,,,
16,Apr-03,,,,,
17,May-03,,,,,
18,Jun-03,,,,,
19,Jul-03,,,,,
20,Aug-03,,,,,
21,Sep-03,,,,,
22,Oct-03,,,,,
23,Nov-03,,,,,
24,Dec-03,,,,,
25,Jan-04,,,,,
26,Feb-04,,,,,
27,Mar-04,,,,,
28,Apr-04,,,,,
29,May-04,,,,,
30,Jun-04,,,,,
31,Jul-04,,,,,
32,Aug-04,,,,,
33,Sep-04,,,,,
34,Oct-04,,,,,
35,Nov-04,,,,,
36,Dec-04,,,,,
37,Jan-05,,,,,
38,Feb-05,,,,,
39,Mar-05,,,,,
40,Apr-05,,,,,
41,May-05,,,,,
42,Jun-05,,,,,
43,Jul-05,,,,,
44,Aug-05,,,,,
45,Sep-05,,,,,
46,Oct-05,,,,,
47,Nov-05,,,,,
48,Dec-05,,,,,
49,Jan-06,,,,,
50,Feb-06,,,,,
51,Mar-06,,,,,
52,Apr-06,,,,,
53,May-06,,,,,
54,Jun-06,,,,,
55,Jul-06,,,,,
56,Aug-06,,,,,
57,Sep-06,,,,,
58,Oct-06,,,,,
59,Nov-06,,,,,
60,Dec-06,,,,,
61,Jan-07,,,,,
62,Feb-07,,,,,
63,Mar-07,,,,,
64,Apr-07,,,,,
65,May-07,,,,,
66,Jun-07,,,,,
67,Jul-07,,,,,
68,Aug-07,,,,,
69,Sep-07,,,,,
70,Oct-07,,,,,
71,Nov-07,,,,,
72,Dec-07,,,,,
73,Jan-08,,,,,
74,Feb-08,,,,,
75,Mar-08,,,,,
76,Apr-08,,,,,
77,May-08,,,,,
78,Jun-08,,,,,
79,Jul-08,,,,,
80,Aug-08,,,,,
81,Sep-08,,,,,
82,Oct-08,,,,,
83,Nov-08,,,,,
84,Dec-08,,,,,
85,Jan-09,,,,,
86,Feb-09,,,,,
87,Mar-09,,,,,
88,Apr-09,,,,,
89,May-09,,,,,
90,Jun-09,,,,,
91,Jul-09,,,,,
92,Aug-09,,,,,
93,Sep-09,,,,,
94,Oct-09,,,,,
95,Nov-09,,,,,
96,Dec-09,,,,,
97,Jan-10,,,,,
98,Feb-10,,,,,
99,Mar-10,,,,,
100,Apr-10,,,,,
101,May-10,,,,,
102,Jun-10,,,,,
103,Jul-10,,,,,
104,Aug-10,,,,,
105,Sep-10,,,,,
106,Oct-10,,,,,
107,Nov-10,,,,,
108,Dec-10,,,,,
109,Jan-11,,,,,
110,Feb-11,,,,,
111,Mar-11,,,,,
112,Apr-11,,,,,
113,May-11,,,,,
114,Jun-11,,,,,
115,Jul-11,,,,,
116,Aug-11,,,,,
117,Sep-11,,,,,
118,Oct-11,,,,,
119,Nov-11,,,,,
120,Dec-11,,,,,
121,Jan-12,,,,,
122,Feb-12,,,,,
123,Mar-12,,,,,
124,Apr-12,,,,,
125,May-12,,,,,
126,Jun-12,,,,,
127,Jul-12,,,,,
128,Aug-12,,,,,
129,Sep-12,,,,,
130,Oct-12,,,,,
131,Nov-12,,,,,
132,Dec-12,,,,,
133,Jan-13,,,,,
134,Feb-13,,,,,
135,Mar-13,,,,,
136,Apr-13,,,,,
137,May-13,,,,,
138,Jun-13,,,,,
139,Jul-13,,,,,
140,Aug-13,,,,,
141,Sep-13,,,,,
142,Oct-13,,,,,
143,Nov-13,,,,,
144,Dec-13,,,,,
145,Jan-14,,,,,
146,Feb-14,,,,,
147,Mar-14,,,,,
148,Apr-14,,,,,
149,May-14,,,,,
150,Jun-14,,,,,
151,Jul-14,,,,,
152,Aug-14,,,,,
153,Sep-14,,,,,
154,Oct-14,,,,,
155,Nov-14,,,,,
156,Dec-14,,,,,
157,Jan-15,,,,,
158,Feb-15,,,,,
159,Mar-15,,,,,
160,Apr-15,,,,,
161,May-15,,,,,
162,Jun-15,,,,,
163,Jul-15,,,,,
164,Aug-15,,,,,
165,Sep-15,,,,,
166,Oct-15,,,,,
167,Nov-15,,,,,
168,Dec-15,,,,,
169,Jan-16,,,,,
170,Feb-16,,,,,
171,Mar-16,,,,,
172,Apr-16,,,,,
173,May-16,,,,,
174,Jun-16,,,,,
175,Jul-16,,,,,
176,Aug-16,,,,,
177,Sep-16,,,,,
178,Oct-16,,,,,
179,Nov-16,,,,,
180,Dec-16,,,,,
181,Jan-17,,,,,
182,Feb-17,,,,,
183,Mar-17,,,,,
184,Apr-17,,,,,
185,May-17,,,,,
186,Jun-17,,,,,
187,Jul-17,,,,,
188,Aug-17,,,,,
189,Sep-17,,,,,
190,Oct-17,,,,,
191,Nov-17,,,,,
192,Dec-17,,,,,
193,Jan-18,,,,,
194,Feb-18,,,,,
195,Mar-18,,,,,
196,Apr-18,,,,,
197,May-18,,,,,
198,Jun-18,,,,,
199,Jul-18,,,,,
200,Aug-18,,,,,
201,Sep-18,,,,,
202,Oct-18,,,,,
203,Nov-18,,,,,
204,Dec-18,,,,,
205,Jan-19,,,,,
206,Feb-19,,,,,
207,Mar-19,,,,,
208,Apr-19,,,,,
209,May-19,,,,,
210,Jun-19,,,,,
211,Jul-19,,,,,
212,Aug-19,,,,,
213,Sep-19,,,,,
214,Oct-19,,,,,
215,Nov-19,,,,,
216,Dec-19,,,,,
217,Jan-20,,,,,
218,Feb-20,,,,,
219,Mar-20,,,,,
220,Apr-20,,,,,
221,May-20,,,,,
222,Jun-20,,,,,
223,Jul-20,,,,,
224,Aug-20,,,,,
225,Sep-20,,,,,
,,,,,,
,,,,,,
NOTES,,,,,,
"<p>For the Construction Spending Survey, all current month estimates are preliminary estimates and will be superseded in following months by revised estimates.</p>

<p>For information on survey methodology and use of the data, including seasonal adjustment and other information pertinent to this economic indicator, go to the <a target=""_blank"" href=""http://www.census.gov/construction/c30/pdf/release.pdf"">Construction Spending Press Release</a> [PDF, 176KB], or refer to the <a target=""_blank"" href=""http://www.census.gov/construction/c30/c30index.html"">Construction Spending</a> website, which provides a link to more <a target=""_blank"" href=""http://www.census.gov/construction/c30/prpdf.html"">historical data</a> for these reports.</p>

<p>With the release of the January 2017 Monthly Construction Spending Report on March 1, 2017, the presentation of the release will change. We are removing the text portion of the release from Excel. The layout and format of the tables are not currently changing, though some explanatory notes may move to the text portion of the document. The full text and tables will still be available as a PDF. For more information and a preview of the new format, visit <a target=""_blank"" href=""www.census.gov/constructionspending"">www.census.gov/constructionspending</a></p>",,,,,,
,,,,,,
,,,,,,
DATA UPDATED ON,,,,,,
"Monday, 02-Nov-20 09:55:37 EST",,,,,,
,,,,,,
,,,,,,
DATA,,,,,,
per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
1,1,1,0,1,0,59516
1,2,1,0,1,0,25972
1,3,1,0,1,0,33545
1,4,1,0,1,0,989
1,5,1,0,1,0,3763
1,6,1,0,1,0,4887
1,7,1,0,1,0,2013
1,8,1,0,1,0,5125
1,9,1,0,1,0,667
1,10,1,0,1,0,647
1,11,1,0,1,0,1328
1,12,1,0,1,0,1729
1,13,1,0,1,0,1416
1,14,1,0,1,0,3402
1,15,1,0,1,0,3180
1,16,1,0,1,0,1150
1,17,1,0,1,0,846
1,18,1,0,1,0,271
1,19,1,0,1,0,2134
1,1,2,0,1,0,45273
1,2,2,0,1,0,25572
1,3,2,0,1,0,19701
1,4,2,0,1,0,972
1,5,2,0,1,0,3066
1,6,2,0,1,0,4588
1,7,2,0,1,0,1629
1,8,2,0,1,0,1000
1,9,2,0,1,0,667
1,11,2,0,1,0,609
1,12,2,0,1,0,444
1,13,2,0,1,0,1414
1,14,2,0,1,0,3129
1,19,2,0,1,0,2117
1,1,3,0,1,0,14243
1,2,3,0,1,0,400
1,3,3,0,1,0,13844
1,5,3,0,1,0,697
1,6,3,0,1,0,299
1,7,3,0,1,0,384
1,8,3,0,1,0,4126
1,10,3,0,1,0,637
1,11,3,0,1,0,719
1,12,3,0,1,0,1285
1,14,3,0,1,0,273
1,15,3,0,1,0,3168
1,16,3,0,1,0,1127
1,17,3,0,1,0,826
1,18,3,0,1,0,268
1,20,1,0,1,1,858654
1,21,1,0,1,1,382979
1,22,1,0,1,1,475704
1,23,1,0,1,1,11862
1,24,1,0,1,1,49140
1,25,1,0,1,1,68254
1,26,1,0,1,1,25746
1,27,1,0,1,1,72357
1,28,1,0,1,1,8745
1,29,1,0,1,1,8468
1,30,1,0,1,1,17866
1,31,1,0,1,1,25547
1,32,1,0,1,1,18873
1,33,1,0,1,1,46050
1,34,1,0,1,1,62723
1,35,1,0,1,1,16392
1,36,1,0,1,1,11760
1,37,1,0,1,1,3603
1,38,1,0,1,1,28318
1,20,2,0,1,1,641333
1,21,2,0,1,1,377631
1,22,2,0,1,1,263731
1,23,2,0,1,1,11669
1,24,2,0,1,1,40176
1,25,2,0,1,1,63972
1,26,2,0,1,1,20888
1,27,2,0,1,1,13616
1,28,2,0,1,1,8742
1,30,2,0,1,1,7822
1,31,2,0,1,1,6512
1,32,2,0,1,1,18843
1,33,2,0,1,1,42407
1,38,2,0,1,1,28116
1,20,3,0,1,1,217321
1,21,3,0,1,1,5348
1,22,3,0,1,1,211973
1,24,3,0,1,1,8964
1,25,3,0,1,1,4282
1,26,3,0,1,1,4859
1,27,3,0,1,1,58742
1,29,3,0,1,1,8356
1,30,3,0,1,1,10044
1,31,3,0,1,1,19035
1,33,3,0,1,1,3643
1,34,3,0,1,1,62553
1,35,3,0,1,1,16077
1,36,3,0,1,1,11412
1,37,3,0,1,1,3578
2,1,1,0,1,0,58588
2,2,1,0,1,0,25721
2,3,1,0,1,0,32868
2,4,1,0,1,0,922
2,5,1,0,1,0,3595
2,6,1,0,1,0,4825
2,7,1,0,1,0,1983
2,8,1,0,1,0,5134
2,9,1,0,1,0,637
2,10,1,0,1,0,652
2,11,1,0,1,0,1386
2,12,1,0,1,0,1729
2,13,1,0,1,0,1430
2,14,1,0,1,0,3324
2,15,1,0,1,0,2979
2,16,1,0,1,0,1149
2,17,1,0,1,0,873
2,18,1,0,1,0,278
2,19,1,0,1,0,1972
2,1,2,0,1,0,44475
2,2,2,0,1,0,25298
2,3,2,0,1,0,19177
2,4,2,0,1,0,905
2,5,2,0,1,0,2934
2,6,2,0,1,0,4557
2,7,2,0,1,0,1629
2,8,2,0,1,0,977
2,9,2,0,1,0,637
2,11,2,0,1,0,631
2,12,2,0,1,0,412
2,13,2,0,1,0,1421
2,14,2,0,1,0,3040
2,19,2,0,1,0,1959
2,1,3,0,1,0,14113
2,2,3,0,1,0,423
2,3,3,0,1,0,13691
2,5,3,0,1,0,661
2,6,3,0,1,0,268
2,7,3,0,1,0,353
2,8,3,0,1,0,4157
2,10,3,0,1,0,640
2,11,3,0,1,0,755
2,12,3,0,1,0,1318
2,14,3,0,1,0,284
2,15,3,0,1,0,2969
2,16,3,0,1,0,1119
2,17,3,0,1,0,851
2,18,3,0,1,0,277
2,20,1,0,1,1,862338
2,21,1,0,1,1,391434
2,22,1,0,1,1,470946
2,23,1,0,1,1,11058
2,24,1,0,1,1,47728
2,25,1,0,1,1,65840
2,26,1,0,1,1,25438
2,27,1,0,1,1,74336
2,28,1,0,1,1,8520
2,29,1,0,1,1,8818
2,30,1,0,1,1,18317
2,31,1,0,1,1,25662
2,32,1,0,1,1,19943
2,33,1,0,1,1,44674
2,34,1,0,1,1,61801
2,35,1,0,1,1,17059
2,36,1,0,1,1,12063
2,37,1,0,1,1,3712
2,38,1,0,1,1,25977
2,20,2,0,1,1,642371
2,21,2,0,1,1,385745
2,22,2,0,1,1,256668
2,23,2,0,1,1,10861
2,24,2,0,1,1,38891
2,25,2,0,1,1,62196
2,26,2,0,1,1,20859
2,27,2,0,1,1,13588
2,28,2,0,1,1,8517
2,30,2,0,1,1,7925
2,31,2,0,1,1,6437
2,32,2,0,1,1,19831
2,33,2,0,1,1,40693
2,38,2,0,1,1,25816
2,20,3,0,1,1,219966
2,21,3,0,1,1,5689
2,22,3,0,1,1,214277
2,24,3,0,1,1,8837
2,25,3,0,1,1,3644
2,26,3,0,1,1,4579
2,27,3,0,1,1,60748
2,29,3,0,1,1,8667
2,30,3,0,1,1,10392
2,31,3,0,1,1,19226
2,33,3,0,1,1,3981
2,34,3,0,1,1,61664
2,35,3,0,1,1,16645
2,36,3,0,1,1,11717
2,37,3,0,1,1,3704
2,1,4,0,1,1,0.4
2,2,4,0,1,1,2.2
2,3,4,0,1,1,-1
2,4,4,0,1,1,-6.8
2,5,4,0,1,1,-2.9
2,6,4,0,1,1,-3.5
2,7,4,0,1,1,-1.2
2,8,4,0,1,1,2.7
2,9,4,0,1,1,-2.6
2,10,4,0,1,1,4.1
2,11,4,0,1,1,2.5
2,12,4,0,1,1,0.5
2,13,4,0,1,1,5.7
2,14,4,0,1,1,-3
2,15,4,0,1,1,-1.5
2,16,4,0,1,1,4.1
2,17,4,0,1,1,2.6
2,18,4,0,1,1,3
2,19,4,0,1,1,-8.3
2,1,5,0,1,1,0.2
2,2,5,0,1,1,2.1
2,3,5,0,1,1,-2.7
2,4,5,0,1,1,-6.9
2,5,5,0,1,1,-3.2
2,6,5,0,1,1,-2.8
2,7,5,0,1,1,-0.1
2,8,5,0,1,1,-0.2
2,9,5,0,1,1,-2.6
2,11,5,0,1,1,1.3
2,12,5,0,1,1,-1.2
2,13,5,0,1,1,5.2
2,14,5,0,1,1,-4
2,19,5,0,1,1,-8.2
2,1,6,0,1,1,1.2
2,2,6,0,1,1,6.4
2,3,6,0,1,1,1.1
2,5,6,0,1,1,-1.4
2,6,6,0,1,1,-14.9
2,7,6,0,1,1,-5.8
2,8,6,0,1,1,3.4
2,10,6,0,1,1,3.7
2,11,6,0,1,1,3.5
2,12,6,0,1,1,1
2,14,6,0,1,1,9.3
2,15,6,0,1,1,-1.4
2,16,6,0,1,1,3.5
2,17,6,0,1,1,2.7
2,18,6,0,1,1,3.5
3,1,1,0,1,0,63782
3,2,1,0,1,0,29826
3,3,1,0,1,0,33956
3,4,1,0,1,0,920
3,5,1,0,1,0,3730
3,6,1,0,1,0,5102
3,7,1,0,1,0,2087
3,8,1,0,1,0,5256
3,9,1,0,1,0,656
3,10,1,0,1,0,634
3,11,1,0,1,0,1430
3,12,1,0,1,0,1950
3,13,1,0,1,0,1437
3,14,1,0,1,0,3433
3,15,1,0,1,0,2966
3,16,1,0,1,0,1208
3,17,1,0,1,0,897
3,18,1,0,1,0,257
3,19,1,0,1,0,1994
3,1,2,0,1,0,49396
3,2,2,0,1,0,29407
3,3,2,0,1,0,19989
3,4,2,0,1,0,901
3,5,2,0,1,0,3002
3,6,2,0,1,0,4854
3,7,2,0,1,0,1716
3,8,2,0,1,0,1051
3,9,2,0,1,0,656
3,11,2,0,1,0,614
3,12,2,0,1,0,497
3,13,2,0,1,0,1434
3,14,2,0,1,0,3211
3,19,2,0,1,0,1981
3,1,3,0,1,0,14386
3,2,3,0,1,0,420
3,3,3,0,1,0,13967
3,5,3,0,1,0,728
3,6,3,0,1,0,248
3,7,3,0,1,0,371
3,8,3,0,1,0,4205
3,10,3,0,1,0,626
3,11,3,0,1,0,816
3,12,3,0,1,0,1452
3,14,3,0,1,0,222
3,15,3,0,1,0,2959
3,16,3,0,1,0,1182
3,17,3,0,1,0,865
3,18,3,0,1,0,257
3,20,1,0,1,1,844551
3,21,1,0,1,1,390942
3,22,1,0,1,1,453504
3,23,1,0,1,1,11036
3,24,1,0,1,1,46215
3,25,1,0,1,1,66722
3,26,1,0,1,1,25639
3,27,1,0,1,1,72247
3,28,1,0,1,1,8472
3,29,1,0,1,1,8035
3,30,1,0,1,1,17988
3,31,1,0,1,1,26742
3,32,1,0,1,1,19092
3,33,1,0,1,1,41738
3,34,1,0,1,1,53009
3,35,1,0,1,1,16286
3,36,1,0,1,1,11954
3,37,1,0,1,1,3332
3,38,1,0,1,1,24998
3,20,2,0,1,1,637762
3,21,2,0,1,1,385406
3,22,2,0,1,1,252252
3,23,2,0,1,1,10810
3,24,2,0,1,1,37058
3,25,2,0,1,1,63256
3,26,2,0,1,1,20986
3,27,2,0,1,1,13724
3,28,2,0,1,1,8469
3,30,2,0,1,1,7472
3,31,2,0,1,1,6907
3,32,2,0,1,1,19053
3,33,2,0,1,1,38707
3,38,2,0,1,1,24835
3,20,3,0,1,1,206789
3,21,3,0,1,1,5536
3,22,3,0,1,1,201253
3,24,3,0,1,1,9158
3,25,3,0,1,1,3467
3,26,3,0,1,1,4652
3,27,3,0,1,1,58523
3,29,3,0,1,1,7933
3,30,3,0,1,1,10516
3,31,3,0,1,1,19835
3,33,3,0,1,1,3031
3,34,3,0,1,1,52889
3,35,3,0,1,1,15960
3,36,3,0,1,1,11530
3,37,3,0,1,1,3328
3,1,4,0,1,1,-2.1
3,2,4,0,1,1,-0.1
3,3,4,0,1,1,-3.7
3,4,4,0,1,1,-0.2
3,5,4,0,1,1,-3.2
3,6,4,0,1,1,1.3
3,7,4,0,1,1,0.8
3,8,4,0,1,1,-2.8
3,9,4,0,1,1,-0.6
3,10,4,0,1,1,-8.9
3,11,4,0,1,1,-1.8
3,12,4,0,1,1,4.2
3,13,4,0,1,1,-4.3
3,14,4,0,1,1,-6.6
3,15,4,0,1,1,-14.2
3,16,4,0,1,1,-4.5
3,17,4,0,1,1,-0.9
3,18,4,0,1,1,-10.2
3,19,4,0,1,1,-3.8
3,1,5,0,1,1,-0.7
3,2,5,0,1,1,-0.1
3,3,5,0,1,1,-1.7
3,4,5,0,1,1,-0.5
3,5,5,0,1,1,-4.7
3,6,5,0,1,1,1.7
3,7,5,0,1,1,0.6
3,8,5,0,1,1,1
3,9,5,0,1,1,-0.6
3,11,5,0,1,1,-5.7
3,12,5,0,1,1,7.3
3,13,5,0,1,1,-3.9
3,14,5,0,1,1,-4.9
3,19,5,0,1,1,-3.8
3,1,6,0,1,1,-6
3,2,6,0,1,1,-2.7
3,3,6,0,1,1,-6.1
3,5,6,0,1,1,3.6
3,6,6,0,1,1,-4.9
3,7,6,0,1,1,1.6
3,8,6,0,1,1,-3.7
3,10,6,0,1,1,-8.5
3,11,6,0,1,1,1.2
3,12,6,0,1,1,3.2
3,14,6,0,1,1,-23.9
3,15,6,0,1,1,-14.2
3,16,6,0,1,1,-4.1
3,17,6,0,1,1,-1.6
3,18,6,0,1,1,-10.2
4,1,1,0,1,0,69504
4,2,1,0,1,0,33008
4,3,1,0,1,0,36496
4,4,1,0,1,0,1009
4,5,1,0,1,0,3930
4,6,1,0,1,0,5267
4,7,1,0,1,0,2211
4,8,1,0,1,0,5838
4,9,1,0,1,0,710
4,10,1,0,1,0,652
4,11,1,0,1,0,1478
4,12,1,0,1,0,2049
4,13,1,0,1,0,1589
4,14,1,0,1,0,3479
4,15,1,0,1,0,3772
4,16,1,0,1,0,1296
4,17,1,0,1,0,999
4,18,1,0,1,0,245
4,19,1,0,1,0,1971
4,1,2,0,1,0,53283
4,2,2,0,1,0,32578
4,3,2,0,1,0,20705
4,4,2,0,1,0,986
4,5,2,0,1,0,3132
4,6,2,0,1,0,4976
4,7,2,0,1,0,1825
4,8,2,0,1,0,1141
4,9,2,0,1,0,710
4,11,2,0,1,0,654
4,12,2,0,1,0,570
4,13,2,0,1,0,1568
4,14,2,0,1,0,3110
4,19,2,0,1,0,1956
4,1,3,0,1,0,16221
4,2,3,0,1,0,430
4,3,3,0,1,0,15791
4,5,3,0,1,0,798
4,6,3,0,1,0,291
4,7,3,0,1,0,387
4,8,3,0,1,0,4697
4,10,3,0,1,0,638
4,11,3,0,1,0,824
4,12,3,0,1,0,1479
4,14,3,0,1,0,369
4,15,3,0,1,0,3766
4,16,3,0,1,0,1272
4,17,3,0,1,0,967
4,18,3,0,1,0,244
4,20,1,0,1,1,858240
4,21,1,0,1,1,404255
4,22,1,0,1,1,453776
4,23,1,0,1,1,12104
4,24,1,0,1,1,46709
4,25,1,0,1,1,64879
4,26,1,0,1,1,26117
4,27,1,0,1,1,74553
4,28,1,0,1,1,8795
4,29,1,0,1,1,8025
4,30,1,0,1,1,17264
4,31,1,0,1,1,25609
4,32,1,0,1,1,19150
4,33,1,0,1,1,41380
4,34,1,0,1,1,53053
4,35,1,0,1,1,16366
4,36,1,0,1,1,12213
4,37,1,0,1,1,3076
4,38,1,0,1,1,24482
4,20,2,0,1,1,649539
4,21,2,0,1,1,398990
4,22,2,0,1,1,250341
4,23,2,0,1,1,11833
4,24,2,0,1,1,37198
4,25,2,0,1,1,61548
4,26,2,0,1,1,21570
4,27,2,0,1,1,13922
4,28,2,0,1,1,8793
4,30,2,0,1,1,7636
4,31,2,0,1,1,6893
4,32,2,0,1,1,18895
4,33,2,0,1,1,36754
4,38,2,0,1,1,24301
4,20,3,0,1,1,208700
4,21,3,0,1,1,5266
4,22,3,0,1,1,203435
4,24,3,0,1,1,9511
4,25,3,0,1,1,3331
4,26,3,0,1,1,4547
4,27,3,0,1,1,60631
4,29,3,0,1,1,7846
4,30,3,0,1,1,9628
4,31,3,0,1,1,18717
4,33,3,0,1,1,4626
4,34,3,0,1,1,52965
4,35,3,0,1,1,16035
4,36,3,0,1,1,11823
4,37,3,0,1,1,3066
4,1,4,0,1,1,1.6
4,2,4,0,1,1,3.4
4,3,4,0,1,1,0.1
4,4,4,0,1,1,9.7
4,5,4,0,1,1,1.1
4,6,4,0,1,1,-2.8
4,7,4,0,1,1,1.9
4,8,4,0,1,1,3.2
4,9,4,0,1,1,3.8
4,10,4,0,1,1,-0.1
4,11,4,0,1,1,-4
4,12,4,0,1,1,-4.2
4,13,4,0,1,1,0.3
4,14,4,0,1,1,-0.9
4,15,4,0,1,1,0.1
4,16,4,0,1,1,0.5
4,17,4,0,1,1,2.2
4,18,4,0,1,1,-7.7
4,19,4,0,1,1,-2.1
4,1,5,0,1,1,1.8
4,2,5,0,1,1,3.5
4,3,5,0,1,1,-0.8
4,4,5,0,1,1,9.5
4,5,5,0,1,1,0.4
4,6,5,0,1,1,-2.7
4,7,5,0,1,1,2.8
4,8,5,0,1,1,1.4
4,9,5,0,1,1,3.8
4,11,5,0,1,1,2.2
4,12,5,0,1,1,-0.2
4,13,5,0,1,1,-0.8
4,14,5,0,1,1,-5
4,19,5,0,1,1,-2.2
4,1,6,0,1,1,0.9
4,2,6,0,1,1,-4.9
4,3,6,0,1,1,1.1
4,5,6,0,1,1,3.9
4,6,6,0,1,1,-3.9
4,7,6,0,1,1,-2.3
4,8,6,0,1,1,3.6
4,10,6,0,1,1,-1.1
4,11,6,0,1,1,-8.4
4,12,6,0,1,1,-5.6
4,14,6,0,1,1,52.6
4,15,6,0,1,1,0.1
4,16,6,0,1,1,0.5
4,17,6,0,1,1,2.5
4,18,6,0,1,1,-7.9
5,1,1,0,1,0,73384
5,2,1,0,1,0,35059
5,3,1,0,1,0,38325
5,4,1,0,1,0,987
5,5,1,0,1,0,3954
5,6,1,0,1,0,5220
5,7,1,0,1,0,2258
5,8,1,0,1,0,6288
5,9,1,0,1,0,697
5,10,1,0,1,0,672
5,11,1,0,1,0,1490
5,12,1,0,1,0,2278
5,13,1,0,1,0,1574
5,14,1,0,1,0,3141
5,15,1,0,1,0,4991
5,16,1,0,1,0,1436
5,17,1,0,1,0,1109
5,18,1,0,1,0,256
5,19,1,0,1,0,1976
5,1,2,0,1,0,55009
5,2,2,0,1,0,34621
5,3,2,0,1,0,20388
5,4,2,0,1,0,965
5,5,2,0,1,0,3090
5,6,2,0,1,0,4931
5,7,2,0,1,0,1889
5,8,2,0,1,0,1194
5,9,2,0,1,0,697
5,11,2,0,1,0,658
5,12,2,0,1,0,626
5,13,2,0,1,0,1558
5,14,2,0,1,0,2753
5,19,2,0,1,0,1958
5,1,3,0,1,0,18375
5,2,3,0,1,0,438
5,3,3,0,1,0,17937
5,5,3,0,1,0,864
5,6,3,0,1,0,289
5,7,3,0,1,0,370
5,8,3,0,1,0,5095
5,10,3,0,1,0,654
5,11,3,0,1,0,832
5,12,3,0,1,0,1652
5,14,3,0,1,0,388
5,15,3,0,1,0,4985
5,16,3,0,1,0,1417
5,17,3,0,1,0,1082
5,18,3,0,1,0,256
5,20,1,0,1,1,850935
5,21,1,0,1,1,399164
5,22,1,0,1,1,451789
5,23,1,0,1,1,11838
5,24,1,0,1,1,45636
5,25,1,0,1,1,62741
5,26,1,0,1,1,26459
5,27,1,0,1,1,75577
5,28,1,0,1,1,8510
5,29,1,0,1,1,8023
5,30,1,0,1,1,16988
5,31,1,0,1,1,26452
5,32,1,0,1,1,18735
5,33,1,0,1,1,37871
5,34,1,0,1,1,56278
5,35,1,0,1,1,16237
5,36,1,0,1,1,13384
5,37,1,0,1,1,3199
5,38,1,0,1,1,23862
5,20,2,0,1,1,635840
5,21,2,0,1,1,394223
5,22,2,0,1,1,241636
