index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0000SEMD02   ,CWUR0000SEMD02   ,"Nursing homes and adult day services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.12=100,1996-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,107.5,114.1,121.0,127.4,135.3,141.8,148.0,153.7,160.4,170.595,176.738,183.746,188.687,194.197,201.239,206.881,212.506,219.228,227.102,234.568,241.77,249.03,255.845,263.786
CWUR0000SEMD03   ,CWUR0000SEMD03   ,"Care of invalids and elderly at home in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2005.12=100,2005-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,104.351,107.089,108.725,110.094,112.319,113.983,114.624,115.382,116.547,118.188,117.003,117.867,120.308,126.356,140.5
CWUR0000SEME     ,CWUR0000SEME     ,"Health insurance in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2005.12=100,2005-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,114.279,115.302,111.759,107.759,106.275,119.368,124.509,123.426,124.488,133.284,135.703,136.75,157.611,184.715,177.538
CWUR0000SEMF     ,CWUR0000SEMF     ,"Medicinal drugs in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.27,105.568,108.868,109.162,111.88,115.636,119.626,122.964,124.358,124.063,125.097,123.258
CWUR0000SEMF01   ,CWUR0000SEMF01   ,"Prescription drugs in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M04,30.4,30.4,30.6,30.8,30.8,30.8,31.2,32.0,32.3,32.9,33.3,34.4,37.8,41.0,42.0,43.1,45.2,45.8,45.8,46.6,47.3,48.7,50.4,52.6,53.9,53.7,51.9,49.9,48.6,48.0,47.5,47.4,46.6,45.8,46.4,47.1,47.2,47.0,46.8,47.9,50.9,53.6,56.8,61.5,66.4,72.5,80.7,90.2,100.1,109.8,120.1,130.3,140.8,151.8,165.0,181.6,199.8,214.7,222.7,230.3,234.9,242.6,248.8,258.3,273.1,285.2,300.7,316.2,325.7,336.3,348.2,363.4,367.997,376.087,388.669,405.469,422.981,438.795,440.225,454.841,474.755,496.955,513.512,521.751,519.679,526.197,516.639
CWUR0000SEMF02   ,CWUR0000SEMF02   ,"Nonprescription drugs in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.833,98.543,99.208,99.253,98.537,97.822,96.842,97.578,96.911,97.296,96.388,95.889
CWUR0000SEMG     ,CWUR0000SEMG     ,"Medical equipment and supplies in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.121,99.527,101.253,101.822,101.339,100.315,100.078,100.737,101.067,102.54,98.736,95.84
CWUR0000SS5702   ,CWUR0000SS5702   ,"Inpatient hospital services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.12=100,1996-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,103.8,107.7,113.5,120.6,130.7,139.7,147.3,155.7,166.1,176.283,189.115,201.562,219.789,234.848,247.053,257.861,272.746,283.246,298.182,311.837,323.535,328.77,341.443,350.655
CWUR0000SS5703   ,CWUR0000SS5703   ,"Outpatient hospital services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4,112.6,125.0,139.1,154.0,169.4,184.7,195.3,205.0,215.4,225.0,233.8,246.6,264.1,281.5,310.5,339.9,358.4,375.7,395.9,424.652,458.109,492.793,524.14,549.459,576.934,605.162,632.185,655.908,677.216,711.024,738.226,749.516,774.257,795.07
CWURN000SAM      ,CWURN000SAM      ,"Medical care in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,105.2,110.1,114.9,120.5,125.9,132.2,137.5,142.4,148.311,154.364,159.486,165.497,171.329,177.114,180.417,184.352,187.819,194.7,199.941,203.313,208.905,218.496,221.04
CWURN000SAM1     ,CWURN000SAM1     ,"Medical care commodities in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,104.9,108.5,112.8,117.1,121.1,125.4,128.0,132.3,134.256,137.053,140.991,146.291,151.263,156.858,157.036,160.019,162.916,167.996,171.648,174.095,173.928,177.429,175.207
CWURN000SAM2     ,CWURN000SAM2     ,"Medical care services in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9,105.3,110.5,115.4,121.4,127.2,134.2,140.4,145.4,152.573,159.776,165.316,171.549,177.666,183.475,187.964,192.251,195.908,203.462,209.224,212.855,220.204,231.563,235.465
CWURN000SEMC     ,CWURN000SEMC     ,"Professional services in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9,105.2,110.1,113.9,118.1,121.9,127.7,132.5,135.5,140.487,145.377,149.163,153.414,157.748,159.889,162.51,164.19,165.599,169.236,169.181,169.609,171.264,174.062,179.155
CWURS000SAM      ,CWURS000SAM      ,"Medical care in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,111.2,119.6,129.9,141.0,151.4,160.2,167.4,174.5,180.7,185.2,191.3,198.0,205.5,215.3,224.9,233.6,242.8,253.4,264.7,277.672,287.661,297.016,307.85,316.711,330.27,340.11,348.208,358.982,374.523,384.614,392.55,406.332,425.502,430.36
CWURS000SAM1     ,CWURS000SAM1     ,"Medical care commodities in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.1,111.1,120.5,131.3,141.1,150.5,156.5,161.0,164.0,169.1,172.1,177.6,184.5,189.8,196.9,203.4,207.1,209.3,214.1,222.5,224.963,228.482,235.754,242.281,249.145,256.444,258.581,264.768,276.105,286.317,295.376,298.94,297.924,292.575,286.498
CWURS000SAM2     ,CWURS000SAM2     ,"Medical care services in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9,111.2,119.4,129.6,141.0,151.6,161.1,168.8,176.9,183.3,188.1,194.4,201.0,209.1,219.5,230.1,240.1,251.5,264.0,276.2,292.512,304.775,314.755,327.139,336.605,352.446,365.182,373.926,384.31,401.614,411.94,421.198,439.591,466.2,474.309
CWURS000SEMC     ,CWURS000SEMC     ,"Professional services in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4,111.5,118.0,125.5,133.8,141.7,148.5,154.6,160.8,166.5,171.5,177.5,183.3,189.7,197.0,201.6,206.9,214.4,222.4,228.7,238.113,245.819,253.001,260.482,265.506,271.587,277.934,283.129,290.52,300.184,305.926,309.689,313.682,320.981,330.625
