index,Index,Label,unit,start,last,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CWURA210SAD      ,CWURA210SAD      ,"Durables in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,42.1,42.9,44.6,45.4,46.4,47.4,50.0,54.8,56.9,59.3,63.5,72.7,82.6,88.7,93.8,102.4,103.8,100.6,100.8,101.3,102.8,104.0,105.8,108.7,109.8,111.5,114.1,115.9,115.6,116.2,117.5,115.9,116.8,115.8,112.4,109.1,109.2,110.4,110.3,109.275,110.149,107.87,108.028,110.351,110.708,109.279,108.244,108.091,106.092,102.467
CWURA210SAE      ,CWURA210SAE      ,"Education and communication in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,98.9,97.3,98.2,99.9,100.8,101.0,101.3,102.7,104.091,105.508,106.761,108.206,110.6,112.225,114.242,115.789,114.947,116.164,113.977
CWURA210SAEC     ,CWURA210SAEC     ,"Education and communication commodities in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.045,96.968,95.84,93.722,94.262,88.081,85.087,74.891
CWURA210SAES     ,CWURA210SAES     ,"Education and communication services in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.449,102.265,104.053,106.485,108.031,108.049,109.231,107.914
CWURA210SAF      ,CWURA210SAF      ,"Food and beverages in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,65.6,72.1,80.4,86.9,94.0,96.5,99.9,103.6,105.9,107.3,110.9,115.9,123.5,130.2,134.9,135.7,139.3,143.9,148.4,153.7,157.5,162.5,168.9,172.3,176.2,179.9,183.2,187.1,191.8,196.3,202.814,213.447,218.688,220.704,231.096,238.716,241.267,246.175,250.695,249.693,249.35
CWURA210SAF1     ,CWURA210SAF1     ,"Food in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1914-M12,2017-M13,10.0,11.4,15.0,16.6,18.8,21.5,15.8,14.5,15.4,15.1,16.5,17.3,16.4,16.2,16.3,15.4,12.3,10.2,10.1,11.3,12.4,12.5,12.9,12.2,11.9,12.1,13.4,15.6,17.7,17.6,17.8,20.3,24.9,27.1,26.0,26.2,29.2,29.9,28.6,28.8,28.3,28.5,29.5,30.5,29.6,30.1,30.1,30.2,30.4,30.5,31.3,33.1,33.3,34.9,36.8,39.1,39.6,41.0,47.3,53.6,58.5,61.8,65.2,72.0,80.6,87.1,93.9,96.4,99.8,103.8,105.9,107.1,110.8,116.0,123.8,130.7,134.8,135.3,139.1,144.1,148.7,154.4,158.4,163.8,170.3,173.7,177.8,181.9,185.3,189.1,194.1,198.7,205.553,216.834,222.268,224.068,235.011,243.02,245.426,250.571,255.188,253.57,252.744
CWURA210SAF11    ,CWURA210SAF11    ,"Food at home in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1953-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,30.9,30.1,30.3,31.2,32.4,31.3,31.7,31.6,31.6,31.8,31.8,32.7,34.6,34.5,36.1,38.0,40.4,40.7,42.3,49.3,55.9,60.8,64.2,67.5,74.8,82.8,88.4,95.2,97.3,100.0,102.7,104.7,105.3,109.3,111.8,120.4,127.8,131.8,130.8,134.5,139.0,143.3,149.4,153.5,159.0,166.5,170.2,172.7,177.0,180.1,182.4,187.8,191.0,196.893,209.33,215.322,217.15,230.335,238.064,239.334,244.145,246.864,242.434,239.839
CWURA210SAF116   ,CWURA210SAF116   ,"Alcoholic beverages in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2,69.4,72.2,77.8,83.7,95.9,97.9,100.6,101.5,105.2,109.8,112.6,115.6,121.7,125.5,137.0,140.3,142.2,142.5,145.1,147.3,148.6,147.1,151.9,155.5,157.3,155.2,156.9,161.3,163.2,166.6,168.946,172.878,176.152,180.975,180.106,180.264,184.495,186.187,189.397,194.767,199.203
CWURA210SAG      ,CWURA210SAG      ,"Other goods and services in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,60.6,64.6,69.8,76.1,84.3,92.5,100.7,106.8,111.2,116.9,124.7,134.8,143.4,150.7,162.2,173.3,183.9,186.3,191.3,193.2,206.0,219.7,241.1,263.0,285.6,304.3,306.2,315.4,334.7,355.4,363.563,370.442,413.061,431.45,437.446,453.372,459.012,464.456,474.314,486.774,489.874
CWURA210SAGC     ,CWURA210SAGC     ,"Other goods in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.121,100.404,102.922,104.41,105.715,108.952,112.462,113.383
CWURA210SAGS     ,CWURA210SAGS     ,"Other personal services in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.677,106.097,111.647,112.712,113.946,114.843,116.687,117.153
CWURA210SAH      ,CWURA210SAH      ,"Housing in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,51.8,55.9,65.3,78.7,86.8,95.9,102.4,101.7,100.7,103.8,105.7,109.3,113.5,117.9,122.2,125.4,128.2,131.1,133.3,137.1,141.5,146.3,147.9,153.4,159.6,158.2,161.2,165.1,169.9,172.0,174.09,178.602,175.837,175.972,177.4,178.207,182.025,186.817,189.207,190.742,195.568
CWURA210SAH1     ,CWURA210SAH1     ,"Shelter in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1952-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,22.5,23.3,23.8,24.8,25.5,25.1,25.2,25.2,25.2,25.4,25.4,25.5,26.0,27.1,29.3,31.1,33.5,33.6,35.0,35.9,38.8,43.2,44.2,46.9,51.4,62.7,79.1,87.6,96.5,102.5,101.0,99.3,104.0,107.5,112.4,116.7,121.6,127.5,132.2,135.5,138.7,142.6,148.0,152.1,159.1,162.6,167.8,171.9,177.6,178.0,181.8,182.6,185.0,188.632,189.37,191.052,190.596,192.608,195.414,199.341,205.066,209.44,213.532,218.188
CWURA210SAH2     ,CWURA210SAH2     ,"Fuels and utilities in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1952-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,20.4,20.7,21.1,21.6,21.7,23.2,24.0,24.1,24.2,24.2,24.4,25.7,25.5,25.6,25.5,25.4,27.4,30.3,31.1,32.4,37.1,40.9,45.7,55.1,57.5,63.3,71.2,81.2,92.8,103.8,103.4,105.0,104.3,102.7,104.1,109.9,112.4,114.2,115.4,120.0,122.5,120.6,124.8,130.0,131.3,129.2,141.0,157.8,136.5,156.9,165.5,189.5,194.7,191.013,214.934,189.047,194.565,193.688,185.306,193.039,201.435,198.167,189.903,201.679
CWURA210SAH21    ,CWURA210SAH21    ,"Household energy in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,49.1,51.3,58.8,69.1,78.2,91.6,105.2,103.2,104.0,103.0,99.2,99.1,105.3,108.0,109.0,106.5,111.8,115.4,112.2,118.1,126.3,125.2,122.7,134.3,152.5,128.1,152.1,160.4,185.5,190.8,181.832,209.757,175.909,178.895,174.276,160.566,165.737,172.905,164.531,154.643,164.933
CWURA210SAH3     ,CWURA210SAH3     ,"Household furnishings and operations in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3,72.7,76.6,80.9,85.6,89.7,96.5,100.1,103.4,103.6,107.1,109.5,110.8,113.2,118.4,120.4,120.7,120.3,122.6,124.1,122.0,126.6,126.3,123.6,123.1,125.9,119.8,116.5,115.5,117.3,115.8,116.252,119.384,120.723,117.215,118.429,119.848,118.373,116.871,115.981,114.103,112.861
CWURA210SAH31    ,CWURA210SAH31    ,"Household furnishings and supplies in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.336,99.062,99.976,98.418,96.75,95.931,93.614,91.992
CWURA210SAM      ,CWURA210SAM      ,"Medical care in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1947-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,11.0,11.5,11.6,12.4,13.1,13.6,14.3,14.9,15.8,16.4,16.8,18.4,19.0,20.3,20.4,21.5,22.2,22.8,23.3,24.7,26.8,30.0,32.4,34.6,35.6,37.3,40.7,45.3,49.8,55.8,61.2,66.5,73.7,81.4,91.7,101.1,107.1,111.5,121.6,127.9,134.1,142.1,154.6,168.7,175.6,184.0,192.3,199.2,206.6,209.0,211.1,220.8,229.9,235.7,240.7,,262.2,279.8,292.8,316.591,338.746,347.051,362.61,376.866,390.024,389.699,395.608,409.065,425.81,442.44
CWURA210SAN      ,CWURA210SAN      ,"Nondurables in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,37.2,39.1,41.3,42.2,43.5,47.7,53.7,57.9,60.9,64.1,68.7,77.2,86.3,94.5,97.4,100.0,102.5,104.5,102.4,107.2,110.7,118.1,126.0,130.5,132.0,134.9,138.4,140.9,145.3,147.4,149.7,155.1,163.0,166.7,166.3,169.5,176.8,186.0,190.2,198.384,212.579,205.971,216.304,232.94,241.029,241.039,242.333,232.534,230.061,233.788
CWURA210SANL1    ,CWURA210SANL1    ,"Nondurables less food in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,39.8,41.6,43.9,45.2,46.2,48.0,53.8,57.6,60.1,62.8,65.4,73.9,85.6,95.2,98.5,100.2,101.3,103.2,97.7,103.2,105.2,112.2,121.0,125.7,128.1,130.1,132.4,133.0,136.3,136.8,136.2,140.6,152.8,156.0,151.6,154.5,165.1,178.3,182.0,191.174,207.455,192.235,208.783,229.684,237.24,235.713,234.573,211.929,208.47,216.088
CWURA210SANL11   ,CWURA210SANL11   ,"Nondurables less food and beverages in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6,62.4,65.0,73.7,85.7,95.2,98.5,100.2,101.3,103.1,96.9,102.7,104.6,111.8,120.9,125.2,127.5,129.4,132.0,132.4,135.8,136.2,135.7,140.1,152.8,156.1,151.5,154.6,165.6,179.8,183.5,193.376,210.745,194.003,211.427,233.236,241.231,239.374,238.156,213.58,209.561,217.475
CWURA210SAR      ,CWURA210SAR      ,"Recreation in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,100.1,100.0,101.2,99.4,99.6,102.1,102.8,103.2,106.175,109.37,113.703,112.795,110.097,111.704,115.219,116.501,117.561,117.57,120.537
CWURA210SAS      ,CWURA210SAS      ,"Services in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,28.1,30.4,33.2,34.7,35.8,37.1,40.8,44.7,47.2,51.9,56.1,63.8,75.8,85.0,95.9,101.2,102.9,104.4,109.1,111.6,116.3,121.9,127.1,132.9,136.6,140.3,144.3,148.7,154.2,160.4,165.9,168.9,174.9,182.3,183.7,189.6,195.6,201.9,205.6,209.507,215.387,215.433,218.375,221.207,223.632,229.006,234.204,238.05,241.261,246.422
CWURA210SASL2RS  ,CWURA210SASL2RS  ,"Services less rent of shelter in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1984.12=100,1984-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7,107.3,108.9,113.3,119.6,124.6,129.9,132.3,136.1,140.7,145.2,150.4,158.2,161.6,163.7,170.1,180.3,177.4,188.4,196.7,208.8,213.4,217.058,229.058,227.588,234.45,238.081,240.171,246.693,250.973,253.768,255.38,260.616
CWURA210SASL5    ,CWURA210SASL5    ,"Services less medical care services in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,28.9,31.1,34.0,35.3,36.5,37.7,41.3,45.2,47.3,51.7,55.7,63.6,76.2,85.5,96.4,101.2,102.4,103.6,107.6,109.8,114.6,120.2,124.9,130.3,133.9,137.2,140.9,145.0,150.1,156.7,162.5,165.1,170.8,178.2,179.5,184.9,190.7,196.1,199.3,202.121,207.212,206.943,208.805,210.883,212.666,217.9,223.273,226.624,229.165,234.154
CWURA210SAT      ,CWURA210SAT      ,"Transportation in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1947-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,22.0,23.4,23.4,24.9,26.3,26.6,26.1,25.9,27.0,28.9,29.4,30.4,30.7,31.3,31.8,31.9,32.5,33.0,33.3,34.3,36.0,37.5,40.0,42.7,43.3,44.6,50.0,52.7,55.1,58.5,61.7,70.6,82.2,92.4,96.7,99.6,103.7,105.6,100.1,102.1,105.4,110.7,116.6,120.0,120.8,121.7,125.3,129.8,134.5,137.3,138.1,140.0,148.6,150.2,147.8,152.3,161.7,174.3,180.5,187.06,198.663,178.689,193.231,212.999,216.94,215.019,211.16,194.05,186.964,186.91
CWURA210SAT1     ,CWURA210SAT1     ,"Private transportation in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1947-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,23.4,24.6,24.2,25.3,26.8,27.2,26.5,25.9,26.8,28.9,29.4,30.5,30.8,31.2,31.5,31.4,31.9,32.3,32.6,33.5,35.0,36.0,38.4,40.4,40.7,41.6,47.4,51.0,56.2,59.8,63.1,72.5,84.1,93.8,97.2,99.4,103.5,105.4,99.5,101.8,105.2,111.3,117.4,120.6,121.3,121.7,125.6,130.0,134.3,136.9,138.1,139.6,148.3,150.0,147.7,152.3,161.6,174.4,180.7,187.151,198.699,178.334,192.772,212.592,216.727,214.645,211.1,193.661,186.051,185.638
CWURA210SATCLTB  ,CWURA210SATCLTB  ,"Transportation commodities less motor fuel in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.327,104.947,106.729,106.265,105.422,106.314,104.578,101.5
