index,Index,Label,unit,start,last,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU62221-62221-               ,PCU62221-62221-               ,"PPI industry data for Psychiatric and substance abuse hospitals, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,101.1,103.7,106.2,110.0,113.4,115.2,116.3,116.5,118.9,121.7,130.6,138.3,135.9,137.9,140.8,145.0,153.4,159.382
PCU622210622210               ,PCU622210622210               ,"PPI industry data for Psychiatric and substance abuse hospitals, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2022-M02,103.6,107.9,110.4,113.7,112.0,108.4,109.2,109.1,110.5,113.1,116.4,119.1,122.2,125.1,129.6,133.6,135.8,137.1,137.2,140.1,143.4,153.8,162.9,160.1,162.5,165.9,170.8,180.7,187.762
PCU6222106222103              ,PCU6222106222103              ,"PPI industry data for Psychiatric and substance abuse hospitals-Psychiatric hospitals, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2022-M02,103.6,108.0,110.4,113.7,112.0,108.4,109.2,109.1,110.5,113.1,116.4,119.0,122.5,125.4,130.0,134.1,136.4,137.8,137.8,140.2,143.2,154.5,164.8,161.8,164.4,168.2,173.6,184.7,192.589
PCU62221062221031             ,PCU62221062221031             ,"PPI industry data for Psychiatric and substance abuse hospitals-Medicare patients: psychiatric hospitals, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,101.2,102.4,104.2,105.1,106.2,114.6,119.833
PCU62221062221032             ,PCU62221062221032             ,"PPI industry data for Psychiatric and substance abuse hospitals-Medicaid patients: psychiatric hospitals, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,104.6,101.0,106.8,114.2,118.0,140.5,148.918
PCU62221062221033             ,PCU62221062221033             ,"PPI industry data for Psychiatric and substance abuse hospitals-Private insurance and all other patients: psychiatric hospitals, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,109.2,107.4,107.6,108.7,112.5,114.5,118.536
PCU6222106222105              ,PCU6222106222105              ,"PPI industry data for Psychiatric and substance abuse hospitals-Substance abuse hospitals, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2008-M06,101.9,105.3,105.9,105.8,107.7,106.9,110.1,115.1,119.1,124.2,129.7,132.5,132.6,135.0,139.1,,,,,,,,,,,,,,
PCU622210622210P              ,PCU622210622210P              ,"PPI industry data for Psychiatric and substance abuse hospitals-Primary services, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2022-M02,103.6,108.0,110.4,113.7,112.0,108.4,109.2,109.1,110.5,113.1,116.4,119.1,122.2,125.1,129.6,133.6,135.8,137.1,137.2,140.1,143.4,153.8,162.9,160.1,162.5,165.9,170.8,180.7,187.753
PCU6223--6223--               ,PCU6223--6223--               ,"PPI industry group data for Other specialty hospitals, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,103.8,109.6,122.8,126.7,128.4,130.7,138.0,141.9,143.7,145.4,148.6,151.5,153.0,153.2,154.1,158.5,163.6,164.554
PCU62231-62231-               ,PCU62231-62231-               ,"PPI industry data for Other specialty hospitals, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,103.8,109.6,122.8,126.7,128.4,130.7,138.0,141.9,143.7,145.4,148.6,151.5,153.0,153.2,154.1,158.5,163.6,164.554
PCU622310622310               ,PCU622310622310               ,"PPI industry data for Other specialty hospitals, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2022-M02,102.7,108.0,110.9,113.6,114.7,117.0,120.0,123.9,126.5,134.3,146.4,155.7,164.3,184.1,189.9,192.5,195.9,206.9,212.8,215.4,218.0,222.8,227.2,229.4,229.6,230.9,237.5,245.3,246.687
PCU6223106223106              ,PCU6223106223106              ,"PPI industry data for Other specialty hospitals-Specialty, except psychiatric and substance abuse, hospitals, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2022-M02,104.8,109.2,114.0,116.2,116.4,120.0,123.0,126.5,128.9,140.0,164.0,179.1,189.0,211.8,218.5,221.4,225.3,238.0,244.8,247.8,250.7,256.3,261.3,263.8,264.1,265.7,273.3,282.2,283.632
PCU62231062231061             ,PCU62231062231061             ,"PPI industry data for Other specialty hospitals-Medicare patients, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,101.7,102.9,100.4,100.6,101.8,107.3,109.913
PCU62231062231062             ,PCU62231062231062             ,"PPI industry data for Other specialty hospitals-Medicaid patients, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,105.5,106.9,111.3,112.9,102.8,102.0,104.33
PCU62231062231063             ,PCU62231062231063             ,"PPI industry data for Other specialty hospitals-Private insurance and all other patients, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,102.3,103.0,103.0,103.7,109.4,112.6,111.901
PCU622310622310P              ,PCU622310622310P              ,"PPI industry data for Other specialty hospitals-Primary services, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2022-M02,104.8,109.2,114.0,116.2,116.4,120.0,123.0,126.5,128.9,140.0,164.0,179.1,189.0,211.8,218.5,221.4,225.3,238.0,244.8,247.8,250.7,256.3,261.3,263.8,264.1,265.7,273.3,282.2,283.632
