index,Index,Label,unit,start,last,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU31519031519033             ,PCU31519031519033             ,"PPI industry data for Other apparel knitting mills-Women's, girls', and infants' sweaters, made in knitting mills, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2012-M04,,,,,,,,,,,,,,,,,,,,,98.5,100.9,102.2,104.0,106.5,,101.1,102.9,103.3,103.0,102.9,104.2,105.1,105.0,106.1,114.3,111.1,97.3,87.4,85.7,83.7,86.8,86.8,89.2,91.4,91.4,91.4,,,,,,,,,,
PCU31519031519035             ,PCU31519031519035             ,"PPI industry data for Other apparel knitting mills-Men's and boys' knit dress and sport shirts, made in knitting mills, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2012-M04,,,,,,,,,,,,,,,,,,,,,102.0,104.5,111.0,110.9,113.4,118.9,120.3,123.0,122.5,122.6,125.8,127.7,128.7,126.6,121.2,120.8,121.3,118.3,104.9,101.6,99.4,98.7,98.7,98.7,98.9,98.9,98.9,,,,,,,,,,
PCU3151903151903F             ,PCU3151903151903F             ,"PPI industry data for Other apparel knitting mills-Hats, mufflers, scarves, and other knitting mill apparel products, made in knitting mills, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,106.7,108.2,113.5,125.6,130.8,132.7,,,,,,,,
PCU315190315190P              ,PCU315190315190P              ,"PPI industry data for Other apparel knitting mills-Primary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,101.4,103.0,103.3,103.7,105.0,105.1,107.3,107.6,108.387
PCU315190315190S              ,PCU315190315190S              ,"PPI industry data for Other apparel knitting mills-Secondary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2014-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,105.0,,,,,,,,
PCU3152--3152--               ,PCU3152--3152--               ,"PPI industry group data for Cut and sew apparel manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,100.2,100.6,101.7,102.4,103.5,103.3,104.9,106.7,108.7,110.0,110.4,111.0,112.0,112.9,114.9,115.3,115.738
PCU31521-31521-               ,PCU31521-31521-               ,"PPI industry data for Cut and sew apparel contractors, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,103.0,105.3,105.9,106.3,106.3,106.1,105.0,105.7,106.1,106.5,107.2,107.7,107.8,108.2,113.4,115.6,116.019
PCU315210315210               ,PCU315210315210               ,"PPI industry data for Cut and sew apparel contractors, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,101.2,101.6,102.2,102.8,102.8,103.2,108.1,110.3,110.655
PCU3152103152102              ,PCU3152103152102              ,"PPI industry data for Cut and sew apparel contractors-Contract receipts for women's, girls', and infants' apparel, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,102.5,104.0,104.3,104.5,104.0,103.3,101.8,102.9,102.9,103.1,103.3,103.9,104.0,104.3,108.7,111.1,111.296
PCU31521031521021             ,PCU31521031521021             ,"PPI industry data for Cut and sew apparel contractors-Contract receipts for women's, girls', and infants' shirts and blouses, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2019-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,99.8,99.7,99.7,99.7,99.7,99.8,100.1,100.6,100.6,100.6,,,
PCU31521031521023             ,PCU31521031521023             ,"PPI industry data for Cut and sew apparel contractors-Contract receipts for women's, girls', and infants' dresses, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2019-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,100.5,100.4,100.4,100.4,100.4,100.4,100.4,100.4,,100.7,,,
PCU31521031521027             ,PCU31521031521027             ,"PPI industry data for Cut and sew apparel contractors-Contract receipts for women's, girls', & infants' nontailored coats, jackets, & other outerwear, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,98.8,97.6,95.9,98.9,98.8,99.2,,,,101.9,102.0,105.5,105.492
PCU3152103152102T             ,PCU3152103152102T             ,"PPI industry data for Cut and sew apparel contractors-Contract rcpts. women's/girls'/infants' skirts, tailored suits/coats, underwear/nightwear, etc., not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2020-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4,100.8,99.6,94.7,94.9,94.9,94.9,94.9,94.9,,95.5,100.8,,
PCU3152103152104              ,PCU3152103152104              ,"PPI industry data for Cut and sew apparel contractors-Contract receipts for men's and boys' (including unisex) apparel, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4,105.1,109.4,111.3,112.4,114.2,115.2,115.1,115.1,115.6,116.0,116.7,118.3,118.7,119.4,126.9,129.1,129.733
PCU31521031521048             ,PCU31521031521048             ,"PPI industry data for Cut and sew apparel contractors-Contract receipts for men's and boys' pants, work apparel, and other outerwear, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,100.5,100.7,101.9,102.9,103.1,103.6,,105.9,106.0,106.4,106.7,107.4,108.332
PCU3152103152104T             ,PCU3152103152104T             ,"PPI industry data for Cut and sew apparel contractors-Contract receipts for men's & boys' shirts, tailored suits/coats/jackets, & underwear/nightwear, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2020-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,105.5,107.6,105.0,104.4,104.7,,,,,107.5,125.3,,
PCU315210315210P              ,PCU315210315210P              ,"PPI industry data for Cut and sew apparel contractors-Primary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,101.1,101.3,101.6,102.3,102.5,102.9,108.1,110.3,110.632
PCU315210315210S              ,PCU315210315210S              ,"PPI industry data for Cut and sew apparel contractors-Secondary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2012-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,,100.6,100.9,,,,,,,,,,,
PCU31522-31522-               ,PCU31522-31522-               ,"PPI industry data for Men's and boys' cut and sew apparel mfg, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,98.4,98.0,98.2,99.2,101.6,102.5,107.5,112.2,115.1,118.0,117.5,117.8,118.9,119.9,122.6,123.8,126.529
PCU315220315220               ,PCU315220315220               ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,104.7,107.2,106.7,107.0,108.0,108.9,111.3,112.4,114.907
PCU3152203152201              ,PCU3152203152201              ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' nightwear, robes, and underwear, made from purchased fabrics, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,102.2,104.3,103.6,103.0,109.2,112.2,117.9,123.6,,127.5,135.4,137.9,141.7,145.9,147.7,149.3,153.357
PCU3152203152202              ,PCU3152203152202              ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' suits, coats, and overcoats, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2021-M10,,,,,,,,,,,,,,,,,103.0,109.4,113.2,116.7,120.3,122.1,125.6,131.9,140.5,146.0,149.6,152.1,152.2,154.1,155.5,157.4,159.3,166.0,167.4,167.6,164.7,161.6,164.5,165.6,165.2,164.6,166.7,171.1,175.9,176.8,179.9,179.7,180.1,181.0,181.8,180.1,180.7,180.9,181.9,183.1,
PCU31522031522022             ,PCU31522031522022             ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' tailored suits, including dress uniforms (firefighter, military, police, etc.), not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2021-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,101.1,100.7,99.6,100.5,103.0,106.5,107.5,109.6,108.5,108.4,108.7,109.3,107.9,108.3,108.6,109.3,109.7,
PCU31522031522029             ,PCU31522031522029             ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' tailored overcoats (incl. water-repellent), dress and sport coats, and vests, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2020-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.9,101.4,103.1,103.9,105.0,105.0,105.1,105.2,104.9,105.3,106.8,
PCU315220315220294            ,PCU315220315220294            ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' tailored overcoats, topcoats, & car and suburban coats (incl. water-repellent), not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2008-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.0,104.5,,,,,,,,,,,,,,,,
PCU315220315220296            ,PCU315220315220296            ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' tailored dress and sport coats and vests, made from purchased fabrics, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2008-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,99.7,99.5,99.5,99.6,102.8,,,,,,,,,,,,,
PCU3152203152206              ,PCU3152203152206              ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' shirts, except work shirts, not seasonally adjusted",Index base: 1983.06 = 100,1965-M01,2022-M01,42.6,43.6,44.5,45.8,48.0,49.3,50.0,50.2,53.1,60.7,64.0,70.4,79.0,80.5,86.3,91.0,93.2,95.7,99.2,97.5,100.3,100.9,102.7,107.3,110.7,114.1,117.8,122.9,125.6,125.6,126.4,126.7,125.6,121.9,120.5,120.2,118.1,113.4,110.5,109.9,109.7,110.0,110.8,111.6,114.2,117.0,142.5,165.4,178.9,181.5,164.5,164.2,164.5,162.9,166.1,168.0,174.446
PCU31522031522061             ,PCU31522031522061             ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' knit dress and sport shirts, made from purchased fabrics, not seasonally adjusted",Index base: 1983.06 = 100,1983-M06,2022-M01,,,,,,,,,,,,,,,,,,,,94.5,95.8,95.8,99.4,102.5,106.0,109.9,113.2,116.5,117.2,116.9,116.9,116.1,115.1,110.2,108.1,107.1,103.3,97.0,92.7,91.2,90.0,89.5,89.8,90.1,,,,149.9,168.4,168.2,144.3,143.3,143.3,143.2,147.4,149.3,151.815
PCU31522031522063             ,PCU31522031522063             ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and  boys' woven dress and sport shirts, made from purchased fabrics, not seasonally adjusted",Index base: 1983.06 = 100,1965-M01,2021-M10,42.1,43.2,44.2,45.3,47.8,49.3,49.9,49.8,52.6,60.7,64.7,69.7,78.4,78.6,86.0,90.4,92.4,96.7,99.7,99.5,102.4,102.8,103.6,109.5,113.5,116.3,119.3,122.9,127.7,127.8,128.5,129.6,127.8,127.8,128.7,130.9,133.4,132.5,132.6,135.4,138.8,141.9,144.5,147.3,150.3,151.9,153.9,156.7,,163.5,166.3,167.8,168.8,165.6,167.5,169.1,
PCU315220315220A              ,PCU315220315220A              ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' pants, except work pants, not seasonally adjusted",Index base: 1981.12 = 100,1981-M12,2020-M08,,,,,,,,,,,,,,,,,,102.7,102.5,104.3,106.0,109.3,111.1,114.0,118.2,121.6,124.0,126.3,127.1,128.8,130.1,132.3,132.6,136.4,137.5,137.3,137.4,133.9,131.0,128.9,128.5,126.3,126.8,127.1,127.3,127.4,132.5,137.2,137.6,137.2,136.6,136.6,137.4,138.9,138.9,,
PCU315220315220A1             ,PCU315220315220A1             ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' separate dress and sport trousers, pants, & slacks, made from purchased fabrics, not seasonally adjusted",Index base: 1981.12 = 100,1965-M01,2016-M09,55.1,55.9,56.1,57.2,58.6,59.7,61.6,59.8,60.2,65.3,69.3,76.3,79.6,82.4,87.1,94.0,99.9,103.3,102.6,104.1,102.8,106.3,108.5,111.2,116.2,119.4,121.8,124.1,124.2,125.7,128.4,130.3,132.2,135.3,137.2,136.7,137.0,130.7,129.4,128.4,125.6,123.0,123.6,123.5,123.9,,,,,146.3,144.4,,,,,,
PCU315220315220A3             ,PCU315220315220A3             ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' jeans and jean-cut casual slacks, made from purchased fabrics, not seasonally adjusted",Index base: 1981.12 = 100,1981-M12,2016-M11,,,,,,,,,,,,,,,,,,99.6,100.1,102.8,103.7,104.7,106.0,111.0,111.9,114.0,116.8,123.5,126.2,127.9,128.7,131.3,131.4,135.9,137.0,136.8,136.9,135.0,130.5,127.4,128.8,126.8,,,,,,,,130.2,130.2,,,,,,
PCU315220315220C              ,PCU315220315220C              ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' work clothing, not seasonally adjusted",Index base: 1981.12 = 100,1981-M12,2022-M01,,,,,,,,,,,,,,,,,,99.9,100.7,103.5,104.5,105.5,106.7,111.4,113.1,115.5,118.8,124.3,128.6,130.6,133.4,136.5,137.4,138.4,140.3,140.8,139.1,135.4,134.9,135.3,134.2,129.2,130.5,132.0,137.5,136.1,141.7,145.5,146.3,149.4,152.4,153.9,159.4,161.4,164.7,165.3,165.545
PCU315220315220C1             ,PCU315220315220C1             ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' work shirts, made from purchased fabrics, not seasonally adjusted",Index base: 1981.12 = 100,1981-M12,2020-M05,,,,,,,,,,,,,,,,,,98.9,99.5,102.7,104.5,104.6,,,,,,,125.9,128.9,131.9,134.9,131.6,131.7,132.1,132.2,129.6,125.1,125.2,124.6,129.8,126.1,126.3,129.1,134.4,123.8,125.9,126.4,127.0,129.7,132.4,132.5,138.9,142.3,148.6,,
PCU315220315220C3             ,PCU315220315220C3             ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' work clothing and washable service apparel (excl. work shirts and jeans), mfpm, not seasonally adjusted",Index base: 1981.12 = 100,1981-M12,2022-M01,,,,,,,,,,,,,,,,,,100.5,102.3,106.6,107.4,108.4,109.0,113.4,116.8,119.7,123.2,124.4,127.6,129.4,132.3,135.7,137.5,138.5,141.3,142.0,140.4,136.6,135.8,136.6,133.1,127.7,129.4,130.5,135.9,137.8,144.6,149.8,150.6,153.9,156.9,158.8,164.0,165.6,168.1,168.7,168.854
PCU315220315220E              ,PCU315220315220E              ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' other outerwear, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2022-M01,,,,,,,,,,,,,,,,,,,,102.4,103.7,104.2,105.4,108.1,112.6,116.6,118.7,120.9,122.6,123.8,124.4,125.3,126.7,127.3,128.6,129.8,130.2,131.5,131.5,132.8,121.8,123.0,123.6,125.7,134.2,143.4,143.3,151.1,156.3,156.9,160.3,163.0,166.0,168.9,171.1,173.7,176.752
PCU315220315220E1             ,PCU315220315220E1             ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' nontailored coats, jackets, and vests (excl. ski apparel & work jackets), mfpm, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2022-M01,,,,,,,,,,,,,,,,,,,,102.3,103.7,104.0,105.0,107.9,111.9,114.5,117.6,119.1,120.4,121.5,120.7,120.4,121.0,121.4,123.5,125.5,126.4,128.5,128.4,128.8,122.5,124.9,125.6,128.6,141.4,158.0,158.5,164.7,170.7,171.4,175.2,178.4,181.8,185.7,188.0,190.8,195.132
PCU315220315220E11            ,PCU315220315220E11            ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' heavyweight nontailored coats, jackets, and vests (excl. ski apparel & work), not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6,115.3,132.8,133.3,137.0,,142.0,145.7,150.0,154.1,157.8,158.7,160.7,164.116
PCU315220315220E12            ,PCU315220315220E12            ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' lightweight nontailored coats, jackets, and vests (excl. ski apparel & work), not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,105.9,106.1,106.2,107.2,110.6,112.2,114.0,114.0,114.7,116.6,119.0,121.1,124.087
PCU315220315220E3             ,PCU315220315220E3             ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' shorts (including dress and athletic) and swimwear, made from purchased fabrics, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2013-M11,,,,,,,,,,,,,,,,,,,,101.1,102.2,103.3,107.1,110.2,111.7,121.1,121.8,123.6,124.3,124.4,124.5,124.9,125.2,125.2,126.1,126.7,127.1,128.8,128.8,,,,,103.9,103.9,99.1,95.4,102.6,,,,,,,,,
PCU315220315220E5             ,PCU315220315220E5             ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Men's and boys' sweaters, sweatpants, jogging suits, beachwear (excl. swimsuits), & ski apparel, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2019-M07,,,,,,,,,,,,,,,,,,,,102.9,104.2,104.7,105.4,107.9,113.5,116.0,117.9,120.6,123.7,125.4,128.4,130.2,132.9,132.8,134.0,135.7,136.1,137.3,137.4,139.9,142.2,142.7,143.6,145.1,152.2,157.9,160.2,162.0,159.8,160.5,164.4,165.8,167.4,169.6,,,
PCU315220315220M              ,PCU315220315220M              ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2019-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,110.4,110.6,110.8,112.9,,,
PCU315220315220P              ,PCU315220315220P              ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Primary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1,105.7,106.8,105.6,105.9,107.4,108.2,109.7,110.6,113.464
PCU315220315220S              ,PCU315220315220S              ,"PPI industry data for Men's and boys' cut and sew apparel manufacturing-Secondary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,98.9,99.2,100.8,101.7,102.4,103.2,107.4,110.8,113.371
PCU31524-31524-               ,PCU31524-31524-               ,"PPI industry data for Women's & girls' cut & sew apparel mfg., not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4,100.8,101.0,102.2,102.6,103.1,102.2,102.1,102.6,105.0,105.8,106.3,106.9,108.2,109.2,109.5,108.8,107.826
PCU315240315240               ,PCU315240315240               ,"PPI industry data for Women's, girls', and infants' cut and sew apparel manufacturing, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,102.9,103.7,104.1,104.7,105.9,106.8,107.1,106.4,105.444
PCU3152403152401              ,PCU3152403152401              ,"PPI industry data for Women's, girls', and infants' cut and sew apparel manufacturing-Women's and girls' lingerie and nightwear, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,103.4,104.6,106.1,106.1,108.4,109.9,111.1,113.7,114.5,114.7,116.2,116.3,117.0,117.2,117.4,117.5,117.515
PCU31524031524011             ,PCU31524031524011             ,"PPI industry data for Women's, girls', and infants' cut and sew apparel manufacturing-Women's and girls' underwear, excluding foundation garments, made from purchased fabrics, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4,104.5,105.5,104.0,103.8,105.3,106.4,107.7,109.3,109.7,109.9,110.0,110.1,111.7,113.2,113.4,113.7,113.696
PCU31524031524013             ,PCU31524031524013             ,"PPI industry data for Women's, girls', and infants' cut and sew apparel manufacturing-Women's and girls' nightwear, excluding robes and dressing gowns, made from purchased fabrics, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,99.1,96.4,97.6,97.9,99.3,103.1,107.2,111.0,116.4,117.0,117.1,117.1,117.3,117.3,117.4,117.4,117.439
PCU31524031524017             ,PCU31524031524017             ,"PPI industry data for Women's, girls', and infants' cut and sew apparel manufacturing-Women's and girls' brassieres, bandeaux, corsets (exc. surgical), girdles, & combinations, mfpm, not seasonally adjusted",Index base: 1982.06 = 100,1975-M12,2021-M02,,,,,,,,,,,,70.8,72.8,75.7,78.9,84.4,90.8,100.7,103.7,107.0,111.2,114.2,117.8,122.5,125.8,125.2,127.6,130.3,133.2,135.2,135.7,136.2,137.4,139.1,141.5,143.2,143.9,144.0,143.4,144.9,148.6,151.1,153.6,153.5,157.9,159.2,160.3,163.5,163.5,,167.7,167.8,168.1,168.1,168.3,168.4,
PCU31524031524019             ,PCU31524031524019             ,"PPI industry data for Women's, girls', and infants' cut and sew apparel manufacturing-Women's and girls' robes and dressing gowns, made from purchased fabrics, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2018-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.3,105.2,111.5,110.4,104.6,110.4,110.6,114.1,117.0,117.0,117.1,117.1,117.1,117.1,,,
